,Unnamed: 0,trade_dt_x,wind_code
0,149112,2019-01-31,000001.SZ
1,149113,2019-01-31,000002.SZ
28,149140,2019-01-31,000035.SZ
51,149163,2019-01-31,000069.SZ
59,149171,2019-01-31,000100.SZ
70,149182,2019-01-31,000333.SZ
71,149183,2019-01-31,000338.SZ
75,149187,2019-01-31,000403.SZ
86,149198,2019-01-31,000418.SZ
95,149207,2019-01-31,000429.SZ
129,149241,2019-01-31,000538.SZ
155,149267,2019-01-31,000568.SZ
164,149276,2019-01-31,000585.SZ
171,149283,2019-01-31,000593.SZ
173,149285,2019-01-31,000596.SZ
190,149302,2019-01-31,000616.SZ
211,149323,2019-01-31,000651.SZ
212,149324,2019-01-31,000652.SZ
214,149326,2019-01-31,000656.SZ
216,149328,2019-01-31,000659.SZ
217,149329,2019-01-31,000661.SZ
227,149339,2019-01-31,000672.SZ
240,149352,2019-01-31,000688.SZ
250,149362,2019-01-31,000703.SZ
273,149385,2019-01-31,000731.SZ
280,149392,2019-01-31,000739.SZ
296,149408,2019-01-31,000776.SZ
326,149438,2019-01-31,000813.SZ
361,149473,2019-01-31,000876.SZ
376,149488,2019-01-31,000895.SZ
378,149490,2019-01-31,000898.SZ
382,149494,2019-01-31,000902.SZ
394,149506,2019-01-31,000918.SZ
427,149539,2019-01-31,000963.SZ
431,149543,2019-01-31,000968.SZ
460,149572,2019-01-31,001979.SZ
484,149596,2019-01-31,002024.SZ
485,149597,2019-01-31,002025.SZ
492,149604,2019-01-31,002032.SZ
521,149633,2019-01-31,002061.SZ
524,149636,2019-01-31,002064.SZ
542,149654,2019-01-31,002083.SZ
549,149661,2019-01-31,002090.SZ
559,149671,2019-01-31,002100.SZ
579,149691,2019-01-31,002120.SZ
605,149717,2019-01-31,002146.SZ
618,149730,2019-01-31,002159.SZ
633,149745,2019-01-31,002174.SZ
638,149750,2019-01-31,002179.SZ
639,149751,2019-01-31,002180.SZ
650,149762,2019-01-31,002191.SZ
658,149770,2019-01-31,002199.SZ
682,149794,2019-01-31,002223.SZ
701,149813,2019-01-31,002242.SZ
762,149874,2019-01-31,002304.SZ
769,149881,2019-01-31,002311.SZ
822,149934,2019-01-31,002364.SZ
830,149942,2019-01-31,002372.SZ
840,149952,2019-01-31,002382.SZ
896,150008,2019-01-31,002438.SZ
897,150009,2019-01-31,002439.SZ
919,150031,2019-01-31,002461.SZ
926,150038,2019-01-31,002468.SZ
928,150040,2019-01-31,002470.SZ
936,150048,2019-01-31,002478.SZ
951,150063,2019-01-31,002493.SZ
965,150077,2019-01-31,002507.SZ
987,150099,2019-01-31,002530.SZ
988,150100,2019-01-31,002531.SZ
1000,150112,2019-01-31,002543.SZ
1014,150126,2019-01-31,002557.SZ
1052,150164,2019-01-31,002595.SZ
1054,150166,2019-01-31,002597.SZ
1100,150212,2019-01-31,002643.SZ
1104,150216,2019-01-31,002647.SZ
1105,150217,2019-01-31,002648.SZ
1132,150244,2019-01-31,002675.SZ
1134,150246,2019-01-31,002677.SZ
1136,150248,2019-01-31,002679.SZ
1147,150259,2019-01-31,002690.SZ
1157,150269,2019-01-31,002700.SZ
1161,150273,2019-01-31,002705.SZ
1168,150280,2019-01-31,002713.SZ
1172,150284,2019-01-31,002717.SZ
1185,150297,2019-01-31,002731.SZ
1189,150301,2019-01-31,002735.SZ
1224,150336,2019-01-31,002773.SZ
1227,150339,2019-01-31,002776.SZ
1244,150356,2019-01-31,002795.SZ
1254,150366,2019-01-31,002806.SZ
1260,150372,2019-01-31,002812.SZ
1268,150380,2019-01-31,002821.SZ
1278,150390,2019-01-31,002831.SZ
1280,150392,2019-01-31,002833.SZ
1321,150433,2019-01-31,002878.SZ
