,Unnamed: 0,trade_dt_x,wind_code
4,149116,2019-01-31,000006.SZ
12,149124,2019-01-31,000016.SZ
13,149125,2019-01-31,000017.SZ
20,149132,2019-01-31,000026.SZ
21,149133,2019-01-31,000027.SZ
22,149134,2019-01-31,000028.SZ
24,149136,2019-01-31,000030.SZ
54,149166,2019-01-31,000088.SZ
57,149169,2019-01-31,000096.SZ
67,149179,2019-01-31,000159.SZ
69,149181,2019-01-31,000301.SZ
76,149188,2019-01-31,000404.SZ
81,149193,2019-01-31,000411.SZ
83,149195,2019-01-31,000415.SZ
85,149197,2019-01-31,000417.SZ
89,149201,2019-01-31,000421.SZ
96,149208,2019-01-31,000430.SZ
98,149210,2019-01-31,000498.SZ
99,149211,2019-01-31,000501.SZ
109,149221,2019-01-31,000514.SZ
110,149222,2019-01-31,000516.SZ
113,149225,2019-01-31,000519.SZ
116,149228,2019-01-31,000523.SZ
117,149229,2019-01-31,000524.SZ
130,149242,2019-01-31,000539.SZ
132,149244,2019-01-31,000541.SZ
134,149246,2019-01-31,000544.SZ
136,149248,2019-01-31,000546.SZ
145,149257,2019-01-31,000557.SZ
152,149264,2019-01-31,000565.SZ
159,149271,2019-01-31,000573.SZ
162,149274,2019-01-31,000582.SZ
181,149293,2019-01-31,000606.SZ
182,149294,2019-01-31,000607.SZ
193,149305,2019-01-31,000620.SZ
202,149314,2019-01-31,000631.SZ
229,149341,2019-01-31,000676.SZ
230,149342,2019-01-31,000677.SZ
233,149345,2019-01-31,000680.SZ
241,149353,2019-01-31,000690.SZ
246,149358,2019-01-31,000698.SZ
251,149363,2019-01-31,000705.SZ
262,149374,2019-01-31,000718.SZ
264,149376,2019-01-31,000720.SZ
270,149382,2019-01-31,000727.SZ
275,149387,2019-01-31,000733.SZ
279,149391,2019-01-31,000738.SZ
294,149406,2019-01-31,000767.SZ
295,149407,2019-01-31,000768.SZ
305,149417,2019-01-31,000788.SZ
308,149420,2019-01-31,000791.SZ
322,149434,2019-01-31,000809.SZ
330,149442,2019-01-31,000819.SZ
332,149444,2019-01-31,000821.SZ
341,149453,2019-01-31,000833.SZ
344,149456,2019-01-31,000837.SZ
347,149459,2019-01-31,000848.SZ
355,149467,2019-01-31,000861.SZ
364,149476,2019-01-31,000880.SZ
366,149478,2019-01-31,000882.SZ
368,149480,2019-01-31,000885.SZ
391,149503,2019-01-31,000913.SZ
395,149507,2019-01-31,000919.SZ
403,149515,2019-01-31,000928.SZ
411,149523,2019-01-31,000937.SZ
424,149536,2019-01-31,000960.SZ
426,149538,2019-01-31,000962.SZ
428,149540,2019-01-31,000965.SZ
438,149550,2019-01-31,000976.SZ
453,149565,2019-01-31,000997.SZ
463,149575,2019-01-31,002003.SZ
474,149586,2019-01-31,002014.SZ
489,149601,2019-01-31,002029.SZ
493,149605,2019-01-31,002033.SZ
497,149609,2019-01-31,002037.SZ
500,149612,2019-01-31,002040.SZ
508,149620,2019-01-31,002048.SZ
516,149628,2019-01-31,002056.SZ
517,149629,2019-01-31,002057.SZ
520,149632,2019-01-31,002060.SZ
532,149644,2019-01-31,002073.SZ
546,149658,2019-01-31,002087.SZ
551,149663,2019-01-31,002092.SZ
555,149667,2019-01-31,002096.SZ
558,149670,2019-01-31,002099.SZ
567,149679,2019-01-31,002108.SZ
568,149680,2019-01-31,002109.SZ
582,149694,2019-01-31,002123.SZ
592,149704,2019-01-31,002133.SZ
594,149706,2019-01-31,002135.SZ
603,149715,2019-01-31,002144.SZ
609,149721,2019-01-31,002150.SZ
624,149736,2019-01-31,002165.SZ
645,149757,2019-01-31,002186.SZ
646,149758,2019-01-31,002187.SZ
652,149764,2019-01-31,002193.SZ
663,149775,2019-01-31,002204.SZ
664,149776,2019-01-31,002205.SZ
667,149779,2019-01-31,002208.SZ
675,149787,2019-01-31,002216.SZ
684,149796,2019-01-31,002225.SZ
685,149797,2019-01-31,002226.SZ
696,149808,2019-01-31,002237.SZ
700,149812,2019-01-31,002241.SZ
705,149817,2019-01-31,002246.SZ
724,149836,2019-01-31,002266.SZ
733,149845,2019-01-31,002275.SZ
735,149847,2019-01-31,002277.SZ
741,149853,2019-01-31,002283.SZ
745,149857,2019-01-31,002287.SZ
753,149865,2019-01-31,002295.SZ
754,149866,2019-01-31,002296.SZ
756,149868,2019-01-31,002298.SZ
761,149873,2019-01-31,002303.SZ
773,149885,2019-01-31,002315.SZ
775,149887,2019-01-31,002317.SZ
782,149894,2019-01-31,002324.SZ
790,149902,2019-01-31,002332.SZ
792,149904,2019-01-31,002334.SZ
796,149908,2019-01-31,002338.SZ
799,149911,2019-01-31,002341.SZ
802,149914,2019-01-31,002344.SZ
805,149917,2019-01-31,002347.SZ
813,149925,2019-01-31,002355.SZ
818,149930,2019-01-31,002360.SZ
821,149933,2019-01-31,002363.SZ
832,149944,2019-01-31,002374.SZ
835,149947,2019-01-31,002377.SZ
838,149950,2019-01-31,002380.SZ
839,149951,2019-01-31,002381.SZ
849,149961,2019-01-31,002391.SZ
850,149962,2019-01-31,002392.SZ
851,149963,2019-01-31,002393.SZ
856,149968,2019-01-31,002398.SZ
864,149976,2019-01-31,002406.SZ
879,149991,2019-01-31,002421.SZ
891,150003,2019-01-31,002433.SZ
894,150006,2019-01-31,002436.SZ
902,150014,2019-01-31,002444.SZ
907,150019,2019-01-31,002449.SZ
913,150025,2019-01-31,002455.SZ
915,150027,2019-01-31,002457.SZ
920,150032,2019-01-31,002462.SZ
925,150037,2019-01-31,002467.SZ
932,150044,2019-01-31,002474.SZ
934,150046,2019-01-31,002476.SZ
937,150049,2019-01-31,002479.SZ
945,150057,2019-01-31,002487.SZ
948,150060,2019-01-31,002490.SZ
950,150062,2019-01-31,002492.SZ
953,150065,2019-01-31,002495.SZ
968,150080,2019-01-31,002510.SZ
974,150086,2019-01-31,002516.SZ
977,150089,2019-01-31,002519.SZ
978,150090,2019-01-31,002520.SZ
982,150094,2019-01-31,002524.SZ
983,150095,2019-01-31,002526.SZ
989,150101,2019-01-31,002532.SZ
995,150107,2019-01-31,002538.SZ
997,150109,2019-01-31,002540.SZ
998,150110,2019-01-31,002541.SZ
999,150111,2019-01-31,002542.SZ
1003,150115,2019-01-31,002546.SZ
1007,150119,2019-01-31,002550.SZ
1016,150128,2019-01-31,002559.SZ
1018,150130,2019-01-31,002561.SZ
1021,150133,2019-01-31,002564.SZ
1030,150142,2019-01-31,002573.SZ
1044,150156,2019-01-31,002587.SZ
1048,150160,2019-01-31,002591.SZ
1058,150170,2019-01-31,002601.SZ
1069,150181,2019-01-31,002612.SZ
1070,150182,2019-01-31,002613.SZ
1077,150189,2019-01-31,002620.SZ
1085,150197,2019-01-31,002628.SZ
1089,150201,2019-01-31,002632.SZ
1090,150202,2019-01-31,002633.SZ
1092,150204,2019-01-31,002635.SZ
1094,150206,2019-01-31,002637.SZ
1098,150210,2019-01-31,002641.SZ
1102,150214,2019-01-31,002645.SZ
1103,150215,2019-01-31,002646.SZ
1106,150218,2019-01-31,002649.SZ
1107,150219,2019-01-31,002650.SZ
1109,150221,2019-01-31,002652.SZ
1115,150227,2019-01-31,002658.SZ
1118,150230,2019-01-31,002661.SZ
1129,150241,2019-01-31,002672.SZ
1135,150247,2019-01-31,002678.SZ
1140,150252,2019-01-31,002683.SZ
1144,150256,2019-01-31,002687.SZ
1145,150257,2019-01-31,002688.SZ
1146,150258,2019-01-31,002689.SZ
1154,150266,2019-01-31,002697.SZ
1155,150267,2019-01-31,002698.SZ
1173,150285,2019-01-31,002718.SZ
1180,150292,2019-01-31,002726.SZ
1182,150294,2019-01-31,002728.SZ
1184,150296,2019-01-31,002730.SZ
1188,150300,2019-01-31,002734.SZ
1190,150302,2019-01-31,002736.SZ
1201,150313,2019-01-31,002748.SZ
1205,150317,2019-01-31,002752.SZ
1206,150318,2019-01-31,002753.SZ
1211,150323,2019-01-31,002759.SZ
1212,150324,2019-01-31,002760.SZ
1226,150338,2019-01-31,002775.SZ
1238,150350,2019-01-31,002788.SZ
1239,150351,2019-01-31,002789.SZ
1250,150362,2019-01-31,002801.SZ
1269,150381,2019-01-31,002822.SZ
1272,150384,2019-01-31,002825.SZ
1281,150393,2019-01-31,002835.SZ
1310,150422,2019-01-31,002866.SZ
1312,150424,2019-01-31,002868.SZ
1317,150429,2019-01-31,002873.SZ
1327,150439,2019-01-31,002884.SZ
1391,150503,2019-01-31,300006.SZ
1392,150504,2019-01-31,300007.SZ
1411,150523,2019-01-31,300026.SZ
1415,150527,2019-01-31,300030.SZ
1419,150531,2019-01-31,300034.SZ
1426,150538,2019-01-31,300041.SZ
