,Unnamed: 0,trade_dt_x,wind_code
2,149114,2019-01-31,000004.SZ
25,149137,2019-01-31,000031.SZ
29,149141,2019-01-31,000036.SZ
31,149143,2019-01-31,000038.SZ
36,149148,2019-01-31,000046.SZ
64,149176,2019-01-31,000156.SZ
65,149177,2019-01-31,000157.SZ
74,149186,2019-01-31,000402.SZ
91,149203,2019-01-31,000423.SZ
120,149232,2019-01-31,000528.SZ
161,149273,2019-01-31,000581.SZ
175,149287,2019-01-31,000598.SZ
191,149303,2019-01-31,000617.SZ
237,149349,2019-01-31,000685.SZ
253,149365,2019-01-31,000708.SZ
254,149366,2019-01-31,000709.SZ
263,149375,2019-01-31,000719.SZ
269,149381,2019-01-31,000726.SZ
298,149410,2019-01-31,000778.SZ
304,149416,2019-01-31,000786.SZ
306,149418,2019-01-31,000789.SZ
335,149447,2019-01-31,000825.SZ
357,149469,2019-01-31,000863.SZ
362,149474,2019-01-31,000877.SZ
367,149479,2019-01-31,000883.SZ
379,149491,2019-01-31,000899.SZ
380,149492,2019-01-31,000900.SZ
417,149529,2019-01-31,000951.SZ
449,149561,2019-01-31,000990.SZ
455,149567,2019-01-31,000999.SZ
461,149573,2019-01-31,002001.SZ
464,149576,2019-01-31,002004.SZ
480,149592,2019-01-31,002020.SZ
488,149600,2019-01-31,002028.SZ
499,149611,2019-01-31,002039.SZ
502,149614,2019-01-31,002042.SZ
504,149616,2019-01-31,002044.SZ
507,149619,2019-01-31,002047.SZ
511,149623,2019-01-31,002051.SZ
544,149656,2019-01-31,002085.SZ
550,149662,2019-01-31,002091.SZ
584,149696,2019-01-31,002125.SZ
587,149699,2019-01-31,002128.SZ
601,149713,2019-01-31,002142.SZ
674,149786,2019-01-31,002215.SZ
692,149804,2019-01-31,002233.SZ
759,149871,2019-01-31,002301.SZ
785,149897,2019-01-31,002327.SZ
789,149901,2019-01-31,002331.SZ
831,149943,2019-01-31,002373.SZ
852,149964,2019-01-31,002394.SZ
861,149973,2019-01-31,002403.SZ
862,149974,2019-01-31,002404.SZ
877,149989,2019-01-31,002419.SZ
888,150000,2019-01-31,002430.SZ
893,150005,2019-01-31,002435.SZ
898,150010,2019-01-31,002440.SZ
964,150076,2019-01-31,002506.SZ
994,150106,2019-01-31,002537.SZ
1015,150127,2019-01-31,002558.SZ
1042,150154,2019-01-31,002585.SZ
1059,150171,2019-01-31,002602.SZ
1083,150195,2019-01-31,002626.SZ
1110,150222,2019-01-31,002653.SZ
1127,150239,2019-01-31,002670.SZ
1158,150270,2019-01-31,002701.SZ
1195,150307,2019-01-31,002741.SZ
1209,150321,2019-01-31,002757.SZ
1219,150331,2019-01-31,002768.SZ
1232,150344,2019-01-31,002781.SZ
1248,150360,2019-01-31,002799.SZ
1255,150367,2019-01-31,002807.SZ
1262,150374,2019-01-31,002815.SZ
1266,150378,2019-01-31,002819.SZ
1285,150397,2019-01-31,002839.SZ
1303,150415,2019-01-31,002859.SZ
1394,150506,2019-01-31,300009.SZ
1462,150574,2019-01-31,300078.SZ
1477,150589,2019-01-31,300093.SZ
1530,150642,2019-01-31,300146.SZ
1586,150698,2019-01-31,300203.SZ
1606,150718,2019-01-31,300223.SZ
1631,150743,2019-01-31,300248.SZ
1636,150748,2019-01-31,300253.SZ
1710,150822,2019-01-31,300327.SZ
1756,150868,2019-01-31,300375.SZ
1763,150875,2019-01-31,300382.SZ
1876,150988,2019-01-31,300495.SZ
2025,151137,2019-01-31,300651.SZ
2131,151243,2019-01-31,600007.SH
2140,151252,2019-01-31,600018.SH
2147,151259,2019-01-31,600026.SH
2153,151265,2019-01-31,600033.SH
2164,151276,2019-01-31,600054.SH
2166,151278,2019-01-31,600056.SH
2176,151288,2019-01-31,600067.SH
2177,151289,2019-01-31,600068.SH
2197,151309,2019-01-31,600089.SH
2220,151332,2019-01-31,600114.SH
2229,151341,2019-01-31,600123.SH
2253,151365,2019-01-31,600153.SH
2259,151371,2019-01-31,600160.SH
2268,151380,2019-01-31,600170.SH
2274,151386,2019-01-31,600177.SH
2279,151391,2019-01-31,600183.SH
2281,151393,2019-01-31,600185.SH
2311,151423,2019-01-31,600219.SH
2315,151427,2019-01-31,600223.SH
2327,151439,2019-01-31,600236.SH
2351,151463,2019-01-31,600266.SH
2354,151466,2019-01-31,600269.SH
2357,151469,2019-01-31,600273.SH
2386,151498,2019-01-31,600307.SH
2402,151514,2019-01-31,600325.SH
2414,151526,2019-01-31,600338.SH
2419,151531,2019-01-31,600346.SH
2420,151532,2019-01-31,600348.SH
2421,151533,2019-01-31,600350.SH
2440,151552,2019-01-31,600371.SH
2445,151557,2019-01-31,600377.SH
2446,151558,2019-01-31,600378.SH
2455,151567,2019-01-31,600388.SH
