,Unnamed: 0,trade_dt_x,wind_code
26,149138,2019-01-31,000032.SZ
34,149146,2019-01-31,000042.SZ
55,149167,2019-01-31,000089.SZ
62,149174,2019-01-31,000153.SZ
94,149206,2019-01-31,000428.SZ
100,149212,2019-01-31,000502.SZ
105,149217,2019-01-31,000507.SZ
118,149230,2019-01-31,000525.SZ
167,149279,2019-01-31,000589.SZ
176,149288,2019-01-31,000599.SZ
195,149307,2019-01-31,000623.SZ
201,149313,2019-01-31,000630.SZ
222,149334,2019-01-31,000667.SZ
223,149335,2019-01-31,000668.SZ
239,149351,2019-01-31,000687.SZ
247,149359,2019-01-31,000700.SZ
252,149364,2019-01-31,000707.SZ
268,149380,2019-01-31,000725.SZ
274,149386,2019-01-31,000732.SZ
289,149401,2019-01-31,000759.SZ
314,149426,2019-01-31,000798.SZ
363,149475,2019-01-31,000878.SZ
385,149497,2019-01-31,000906.SZ
415,149527,2019-01-31,000949.SZ
423,149535,2019-01-31,000959.SZ
440,149552,2019-01-31,000978.SZ
444,149556,2019-01-31,000983.SZ
522,149634,2019-01-31,002062.SZ
560,149672,2019-01-31,002101.SZ
566,149678,2019-01-31,002107.SZ
576,149688,2019-01-31,002117.SZ
621,149733,2019-01-31,002162.SZ
630,149742,2019-01-31,002171.SZ
632,149744,2019-01-31,002173.SZ
641,149753,2019-01-31,002182.SZ
659,149771,2019-01-31,002200.SZ
671,149783,2019-01-31,002212.SZ
680,149792,2019-01-31,002221.SZ
707,149819,2019-01-31,002248.SZ
710,149822,2019-01-31,002251.SZ
713,149825,2019-01-31,002254.SZ
744,149856,2019-01-31,002286.SZ
764,149876,2019-01-31,002306.SZ
772,149884,2019-01-31,002314.SZ
780,149892,2019-01-31,002322.SZ
787,149899,2019-01-31,002329.SZ
807,149919,2019-01-31,002349.SZ
810,149922,2019-01-31,002352.SZ
816,149928,2019-01-31,002358.SZ
853,149965,2019-01-31,002395.SZ
855,149967,2019-01-31,002397.SZ
870,149982,2019-01-31,002412.SZ
938,150050,2019-01-31,002480.SZ
941,150053,2019-01-31,002483.SZ
972,150084,2019-01-31,002514.SZ
993,150105,2019-01-31,002536.SZ
1020,150132,2019-01-31,002563.SZ
1024,150136,2019-01-31,002567.SZ
1050,150162,2019-01-31,002593.SZ
1055,150167,2019-01-31,002598.SZ
1084,150196,2019-01-31,002627.SZ
1101,150213,2019-01-31,002644.SZ
1128,150240,2019-01-31,002671.SZ
1139,150251,2019-01-31,002682.SZ
1142,150254,2019-01-31,002685.SZ
1178,150290,2019-01-31,002724.SZ
1223,150335,2019-01-31,002772.SZ
1296,150408,2019-01-31,002851.SZ
1406,150518,2019-01-31,300021.SZ
1414,150526,2019-01-31,300029.SZ
1489,150601,2019-01-31,300105.SZ
1522,150634,2019-01-31,300138.SZ
1545,150657,2019-01-31,300161.SZ
1553,150665,2019-01-31,300169.SZ
1564,150676,2019-01-31,300180.SZ
1574,150686,2019-01-31,300191.SZ
1576,150688,2019-01-31,300193.SZ
1579,150691,2019-01-31,300196.SZ
1589,150701,2019-01-31,300206.SZ
1630,150742,2019-01-31,300247.SZ
1663,150775,2019-01-31,300280.SZ
1688,150800,2019-01-31,300305.SZ
1704,150816,2019-01-31,300321.SZ
1713,150825,2019-01-31,300330.SZ
1762,150874,2019-01-31,300381.SZ
1765,150877,2019-01-31,300384.SZ
1766,150878,2019-01-31,300385.SZ
1786,150898,2019-01-31,300405.SZ
1797,150909,2019-01-31,300416.SZ
1803,150915,2019-01-31,300422.SZ
1811,150923,2019-01-31,300430.SZ
1823,150935,2019-01-31,300442.SZ
1859,150971,2019-01-31,300478.SZ
1861,150973,2019-01-31,300480.SZ
1897,151009,2019-01-31,300516.SZ
1910,151022,2019-01-31,300530.SZ
1930,151042,2019-01-31,300551.SZ
1932,151044,2019-01-31,300553.SZ
1936,151048,2019-01-31,300557.SZ
1951,151063,2019-01-31,300573.SZ
1968,151080,2019-01-31,300591.SZ
2011,151123,2019-01-31,300636.SZ
2026,151138,2019-01-31,300652.SZ
2043,151155,2019-01-31,300669.SZ
2070,151182,2019-01-31,300696.SZ
2142,151254,2019-01-31,600020.SH
2144,151256,2019-01-31,600022.SH
2145,151257,2019-01-31,600023.SH
2162,151274,2019-01-31,600052.SH
2167,151279,2019-01-31,600057.SH
2199,151311,2019-01-31,600091.SH
2208,151320,2019-01-31,600101.SH
