,Unnamed: 0,trade_dt_x,wind_code
7,149119,2019-01-31,000009.SZ
9,149121,2019-01-31,000011.SZ
10,149122,2019-01-31,000012.SZ
11,149123,2019-01-31,000014.SZ
17,149129,2019-01-31,000021.SZ
18,149130,2019-01-31,000023.SZ
27,149139,2019-01-31,000034.SZ
30,149142,2019-01-31,000037.SZ
32,149144,2019-01-31,000039.SZ
39,149151,2019-01-31,000050.SZ
43,149155,2019-01-31,000059.SZ
44,149156,2019-01-31,000060.SZ
46,149158,2019-01-31,000062.SZ
48,149160,2019-01-31,000065.SZ
49,149161,2019-01-31,000066.SZ
56,149168,2019-01-31,000090.SZ
58,149170,2019-01-31,000099.SZ
61,149173,2019-01-31,000151.SZ
63,149175,2019-01-31,000155.SZ
68,149180,2019-01-31,000166.SZ
87,149199,2019-01-31,000419.SZ
88,149200,2019-01-31,000420.SZ
92,149204,2019-01-31,000425.SZ
97,149209,2019-01-31,000488.SZ
103,149215,2019-01-31,000505.SZ
107,149219,2019-01-31,000510.SZ
111,149223,2019-01-31,000517.SZ
121,149233,2019-01-31,000529.SZ
122,149234,2019-01-31,000530.SZ
126,149238,2019-01-31,000534.SZ
128,149240,2019-01-31,000537.SZ
138,149250,2019-01-31,000548.SZ
141,149253,2019-01-31,000552.SZ
143,149255,2019-01-31,000554.SZ
147,149259,2019-01-31,000559.SZ
150,149262,2019-01-31,000563.SZ
151,149263,2019-01-31,000564.SZ
153,149265,2019-01-31,000566.SZ
169,149281,2019-01-31,000591.SZ
178,149290,2019-01-31,000601.SZ
183,149295,2019-01-31,000608.SZ
189,149301,2019-01-31,000615.SZ
192,149304,2019-01-31,000619.SZ
198,149310,2019-01-31,000627.SZ
199,149311,2019-01-31,000628.SZ
203,149315,2019-01-31,000632.SZ
205,149317,2019-01-31,000635.SZ
210,149322,2019-01-31,000650.SZ
218,149330,2019-01-31,000662.SZ
220,149332,2019-01-31,000665.SZ
221,149333,2019-01-31,000666.SZ
232,149344,2019-01-31,000679.SZ
236,149348,2019-01-31,000683.SZ
248,149360,2019-01-31,000701.SZ
249,149361,2019-01-31,000702.SZ
260,149372,2019-01-31,000716.SZ
265,149377,2019-01-31,000721.SZ
266,149378,2019-01-31,000722.SZ
272,149384,2019-01-31,000729.SZ
282,149394,2019-01-31,000751.SZ
287,149399,2019-01-31,000757.SZ
288,149400,2019-01-31,000758.SZ
291,149403,2019-01-31,000761.SZ
301,149413,2019-01-31,000782.SZ
307,149419,2019-01-31,000790.SZ
323,149435,2019-01-31,000810.SZ
324,149436,2019-01-31,000811.SZ
329,149441,2019-01-31,000818.SZ
333,149445,2019-01-31,000822.SZ
336,149448,2019-01-31,000826.SZ
337,149449,2019-01-31,000828.SZ
338,149450,2019-01-31,000829.SZ
340,149452,2019-01-31,000831.SZ
343,149455,2019-01-31,000836.SZ
345,149457,2019-01-31,000838.SZ
348,149460,2019-01-31,000850.SZ
350,149462,2019-01-31,000852.SZ
353,149465,2019-01-31,000859.SZ
359,149471,2019-01-31,000869.SZ
360,149472,2019-01-31,000875.SZ
369,149481,2019-01-31,000886.SZ
370,149482,2019-01-31,000887.SZ
371,149483,2019-01-31,000888.SZ
372,149484,2019-01-31,000889.SZ
383,149495,2019-01-31,000903.SZ
384,149496,2019-01-31,000905.SZ
392,149504,2019-01-31,000915.SZ
398,149510,2019-01-31,000922.SZ
399,149511,2019-01-31,000923.SZ
401,149513,2019-01-31,000926.SZ
404,149516,2019-01-31,000929.SZ
405,149517,2019-01-31,000930.SZ
409,149521,2019-01-31,000935.SZ
412,149524,2019-01-31,000938.SZ
418,149530,2019-01-31,000952.SZ
433,149545,2019-01-31,000970.SZ
435,149547,2019-01-31,000972.SZ
436,149548,2019-01-31,000973.SZ
443,149555,2019-01-31,000982.SZ
457,149569,2019-01-31,001872.SZ
458,149570,2019-01-31,001896.SZ
459,149571,2019-01-31,001965.SZ
466,149578,2019-01-31,002006.SZ
473,149585,2019-01-31,002013.SZ
475,149587,2019-01-31,002015.SZ
481,149593,2019-01-31,002021.SZ
482,149594,2019-01-31,002022.SZ
483,149595,2019-01-31,002023.SZ
486,149598,2019-01-31,002026.SZ
490,149602,2019-01-31,002030.SZ
491,149603,2019-01-31,002031.SZ
498,149610,2019-01-31,002038.SZ
503,149615,2019-01-31,002043.SZ
510,149622,2019-01-31,002050.SZ
513,149625,2019-01-31,002053.SZ
519,149631,2019-01-31,002059.SZ
525,149637,2019-01-31,002065.SZ
528,149640,2019-01-31,002068.SZ
