,Unnamed: 0,trade_dt_x,wind_code
6,149118,2019-01-31,000008.SZ
47,149159,2019-01-31,000063.SZ
106,149218,2019-01-31,000509.SZ
108,149220,2019-01-31,000513.SZ
131,149243,2019-01-31,000540.SZ
137,149249,2019-01-31,000547.SZ
187,149299,2019-01-31,000612.SZ
196,149308,2019-01-31,000625.SZ
206,149318,2019-01-31,000636.SZ
208,149320,2019-01-31,000638.SZ
226,149338,2019-01-31,000671.SZ
235,149347,2019-01-31,000682.SZ
313,149425,2019-01-31,000797.SZ
315,149427,2019-01-31,000799.SZ
319,149431,2019-01-31,000803.SZ
321,149433,2019-01-31,000807.SZ
327,149439,2019-01-31,000815.SZ
339,149451,2019-01-31,000830.SZ
346,149458,2019-01-31,000839.SZ
354,149466,2019-01-31,000860.SZ
365,149477,2019-01-31,000881.SZ
388,149500,2019-01-31,000910.SZ
402,149514,2019-01-31,000927.SZ
439,149551,2019-01-31,000977.SZ
452,149564,2019-01-31,000996.SZ
454,149566,2019-01-31,000998.SZ
468,149580,2019-01-31,002008.SZ
470,149582,2019-01-31,002010.SZ
487,149599,2019-01-31,002027.SZ
495,149607,2019-01-31,002035.SZ
509,149621,2019-01-31,002049.SZ
534,149646,2019-01-31,002075.SZ
539,149651,2019-01-31,002080.SZ
569,149681,2019-01-31,002110.SZ
590,149702,2019-01-31,002131.SZ
623,149735,2019-01-31,002164.SZ
661,149773,2019-01-31,002202.SZ
687,149799,2019-01-31,002228.SZ
689,149801,2019-01-31,002230.SZ
695,149807,2019-01-31,002236.SZ
720,149832,2019-01-31,002262.SZ
726,149838,2019-01-31,002268.SZ
729,149841,2019-01-31,002271.SZ
737,149849,2019-01-31,002279.SZ
758,149870,2019-01-31,002300.SZ
760,149872,2019-01-31,002302.SZ
779,149891,2019-01-31,002321.SZ
804,149916,2019-01-31,002346.SZ
863,149975,2019-01-31,002405.SZ
871,149983,2019-01-31,002413.SZ
905,150017,2019-01-31,002447.SZ
918,150030,2019-01-31,002460.SZ
966,150078,2019-01-31,002508.SZ
971,150083,2019-01-31,002513.SZ
976,150088,2019-01-31,002518.SZ
1028,150140,2019-01-31,002571.SZ
1036,150148,2019-01-31,002579.SZ
1040,150152,2019-01-31,002583.SZ
1079,150191,2019-01-31,002622.SZ
1095,150207,2019-01-31,002638.SZ
1163,150275,2019-01-31,002707.SZ
1183,150295,2019-01-31,002729.SZ
1192,150304,2019-01-31,002738.SZ
1217,150329,2019-01-31,002766.SZ
1246,150358,2019-01-31,002797.SZ
1259,150371,2019-01-31,002811.SZ
1276,150388,2019-01-31,002829.SZ
1282,150394,2019-01-31,002836.SZ
1294,150406,2019-01-31,002849.SZ
1320,150432,2019-01-31,002877.SZ
1322,150434,2019-01-31,002879.SZ
1324,150436,2019-01-31,002881.SZ
1326,150438,2019-01-31,002883.SZ
1330,150442,2019-01-31,002887.SZ
1331,150443,2019-01-31,002888.SZ
1340,150452,2019-01-31,002898.SZ
1344,150456,2019-01-31,002902.SZ
1348,150460,2019-01-31,002907.SZ
1359,150471,2019-01-31,002919.SZ
1365,150477,2019-01-31,002926.SZ
1374,150486,2019-01-31,002936.SZ
1376,150488,2019-01-31,002938.SZ
1412,150524,2019-01-31,300027.SZ
1418,150530,2019-01-31,300033.SZ
1444,150556,2019-01-31,300059.SZ
1463,150575,2019-01-31,300079.SZ
1491,150603,2019-01-31,300107.SZ
1543,150655,2019-01-31,300159.SZ
1562,150674,2019-01-31,300178.SZ
1565,150677,2019-01-31,300181.SZ
1571,150683,2019-01-31,300188.SZ
1592,150704,2019-01-31,300209.SZ
1608,150720,2019-01-31,300225.SZ
1642,150754,2019-01-31,300259.SZ
1660,150772,2019-01-31,300277.SZ
1661,150773,2019-01-31,300278.SZ
1703,150815,2019-01-31,300320.SZ
1707,150819,2019-01-31,300324.SZ
1731,150843,2019-01-31,300348.SZ
1733,150845,2019-01-31,300350.SZ
1746,150858,2019-01-31,300364.SZ
1754,150866,2019-01-31,300373.SZ
1755,150867,2019-01-31,300374.SZ
1758,150870,2019-01-31,300377.SZ
1774,150886,2019-01-31,300393.SZ
1777,150889,2019-01-31,300396.SZ
1779,150891,2019-01-31,300398.SZ
1795,150907,2019-01-31,300414.SZ
1807,150919,2019-01-31,300426.SZ
1814,150926,2019-01-31,300433.SZ
1835,150947,2019-01-31,300454.SZ
1842,150954,2019-01-31,300461.SZ
1843,150955,2019-01-31,300462.SZ
1852,150964,2019-01-31,300471.SZ
1855,150967,2019-01-31,300474.SZ
1860,150972,2019-01-31,300479.SZ
1868,150980,2019-01-31,300487.SZ
1872,150984,2019-01-31,300491.SZ
1875,150987,2019-01-31,300494.SZ
1877,150989,2019-01-31,300496.SZ
1885,150997,2019-01-31,300504.SZ
1901,151013,2019-01-31,300520.SZ
1912,151024,2019-01-31,300532.SZ
1915,151027,2019-01-31,300535.SZ
1919,151031,2019-01-31,300539.SZ
1923,151035,2019-01-31,300543.SZ
1939,151051,2019-01-31,300560.SZ
1943,151055,2019-01-31,300565.SZ
1955,151067,2019-01-31,300578.SZ
1963,151075,2019-01-31,300586.SZ
1973,151085,2019-01-31,300597.SZ
1974,151086,2019-01-31,300598.SZ
1994,151106,2019-01-31,300619.SZ
2018,151130,2019-01-31,300643.SZ
2020,151132,2019-01-31,300645.SZ
2023,151135,2019-01-31,300649.SZ
2029,151141,2019-01-31,300655.SZ
2033,151145,2019-01-31,300659.SZ
2037,151149,2019-01-31,300663.SZ
2039,151151,2019-01-31,300665.SZ
2040,151152,2019-01-31,300666.SZ
2042,151154,2019-01-31,300668.SZ
2046,151158,2019-01-31,300672.SZ
2049,151161,2019-01-31,300675.SZ
2050,151162,2019-01-31,300676.SZ
2052,151164,2019-01-31,300678.SZ
2059,151171,2019-01-31,300685.SZ
2062,151174,2019-01-31,300688.SZ
2072,151184,2019-01-31,300698.SZ
2081,151193,2019-01-31,300708.SZ
2083,151195,2019-01-31,300710.SZ
2091,151203,2019-01-31,300719.SZ
2116,151228,2019-01-31,300747.SZ
2119,151231,2019-01-31,300750.SZ
2127,151239,2019-01-31,300760.SZ
2129,151241,2019-01-31,600004.SH
2150,151262,2019-01-31,600029.SH
2183,151295,2019-01-31,600074.SH
2188,151300,2019-01-31,600079.SH
2213,151325,2019-01-31,600107.SH
2254,151366,2019-01-31,600155.SH
2262,151374,2019-01-31,600163.SH
2276,151388,2019-01-31,600179.SH
2287,151399,2019-01-31,600191.SH
2291,151403,2019-01-31,600196.SH
2292,151404,2019-01-31,600197.SH
2300,151412,2019-01-31,600207.SH
2305,151417,2019-01-31,600212.SH
2306,151418,2019-01-31,600213.SH
2355,151467,2019-01-31,600271.SH
2382,151494,2019-01-31,600302.SH
2388,151500,2019-01-31,600309.SH
2392,151504,2019-01-31,600313.SH
2409,151521,2019-01-31,600332.SH
2546,151658,2019-01-31,600518.SH
2549,151661,2019-01-31,600521.SH
2557,151669,2019-01-31,600530.SH
2580,151692,2019-01-31,600559.SH
2585,151697,2019-01-31,600565.SH
2590,151702,2019-01-31,600570.SH
2591,151703,2019-01-31,600571.SH
2600,151712,2019-01-31,600581.SH
2638,151750,2019-01-31,600621.SH
2688,151800,2019-01-31,600682.SH
2725,151837,2019-01-31,600721.SH
2732,151844,2019-01-31,600728.SH
2744,151856,2019-01-31,600740.SH
2750,151862,2019-01-31,600746.SH
2759,151871,2019-01-31,600756.SH
2806,151918,2019-01-31,600809.SH
2858,151970,2019-01-31,600867.SH
2958,152070,2019-01-31,601068.SH
2960,152072,2019-01-31,601086.SH
2968,152080,2019-01-31,601108.SH
2969,152081,2019-01-31,601111.SH
2980,152092,2019-01-31,601155.SH
3005,152117,2019-01-31,601233.SH
3012,152124,2019-01-31,601319.SH
3015,152127,2019-01-31,601330.SH
3017,152129,2019-01-31,601336.SH
3023,152135,2019-01-31,601375.SH
3025,152137,2019-01-31,601388.SH
3053,152165,2019-01-31,601633.SH
3084,152196,2019-01-31,601869.SH
3087,152199,2019-01-31,601878.SH
3089,152201,2019-01-31,601881.SH
3137,152249,2019-01-31,603016.SH
3140,152252,2019-01-31,603019.SH
3155,152267,2019-01-31,603036.SH
3161,152273,2019-01-31,603042.SH
3166,152278,2019-01-31,603056.SH
3167,152279,2019-01-31,603058.SH
3181,152293,2019-01-31,603085.SH
3206,152318,2019-01-31,603129.SH
3208,152320,2019-01-31,603133.SH
3210,152322,2019-01-31,603138.SH
3218,152330,2019-01-31,603165.SH
3227,152339,2019-01-31,603181.SH
3257,152369,2019-01-31,603259.SH
3264,152376,2019-01-31,603283.SH
3295,152407,2019-01-31,603335.SH
3301,152413,2019-01-31,603348.SH
3304,152416,2019-01-31,603356.SH
3309,152421,2019-01-31,603363.SH
