,Unnamed: 0,trade_dt_x,wind_code
8,149120,2019-01-31,000010.SZ
14,149126,2019-01-31,000018.SZ
23,149135,2019-01-31,000029.SZ
33,149145,2019-01-31,000040.SZ
40,149152,2019-01-31,000055.SZ
42,149154,2019-01-31,000058.SZ
45,149157,2019-01-31,000061.SZ
50,149162,2019-01-31,000068.SZ
52,149164,2019-01-31,000070.SZ
60,149172,2019-01-31,000150.SZ
72,149184,2019-01-31,000400.SZ
73,149185,2019-01-31,000401.SZ
79,149191,2019-01-31,000409.SZ
80,149192,2019-01-31,000410.SZ
93,149205,2019-01-31,000426.SZ
101,149213,2019-01-31,000503.SZ
102,149214,2019-01-31,000504.SZ
104,149216,2019-01-31,000506.SZ
125,149237,2019-01-31,000533.SZ
127,149239,2019-01-31,000536.SZ
133,149245,2019-01-31,000543.SZ
139,149251,2019-01-31,000550.SZ
148,149260,2019-01-31,000560.SZ
157,149269,2019-01-31,000571.SZ
160,149272,2019-01-31,000576.SZ
165,149277,2019-01-31,000586.SZ
166,149278,2019-01-31,000587.SZ
170,149282,2019-01-31,000592.SZ
172,149284,2019-01-31,000595.SZ
179,149291,2019-01-31,000603.SZ
180,149292,2019-01-31,000605.SZ
185,149297,2019-01-31,000610.SZ
188,149300,2019-01-31,000613.SZ
194,149306,2019-01-31,000622.SZ
200,149312,2019-01-31,000629.SZ
207,149319,2019-01-31,000637.SZ
225,149337,2019-01-31,000670.SZ
243,149355,2019-01-31,000692.SZ
245,149357,2019-01-31,000697.SZ
258,149370,2019-01-31,000713.SZ
259,149371,2019-01-31,000715.SZ
267,149379,2019-01-31,000723.SZ
276,149388,2019-01-31,000735.SZ
277,149389,2019-01-31,000736.SZ
281,149393,2019-01-31,000750.SZ
297,149409,2019-01-31,000777.SZ
299,149411,2019-01-31,000779.SZ
303,149415,2019-01-31,000785.SZ
309,149421,2019-01-31,000792.SZ
310,149422,2019-01-31,000793.SZ
317,149429,2019-01-31,000801.SZ
318,149430,2019-01-31,000802.SZ
325,149437,2019-01-31,000812.SZ
334,149446,2019-01-31,000823.SZ
342,149454,2019-01-31,000835.SZ
349,149461,2019-01-31,000851.SZ
351,149463,2019-01-31,000856.SZ
352,149464,2019-01-31,000858.SZ
356,149468,2019-01-31,000862.SZ
373,149485,2019-01-31,000890.SZ
381,149493,2019-01-31,000901.SZ
390,149502,2019-01-31,000912.SZ
393,149505,2019-01-31,000917.SZ
397,149509,2019-01-31,000921.SZ
400,149512,2019-01-31,000925.SZ
407,149519,2019-01-31,000932.SZ
410,149522,2019-01-31,000936.SZ
421,149533,2019-01-31,000957.SZ
456,149568,2019-01-31,001696.SZ
462,149574,2019-01-31,002002.SZ
471,149583,2019-01-31,002011.SZ
472,149584,2019-01-31,002012.SZ
477,149589,2019-01-31,002017.SZ
494,149606,2019-01-31,002034.SZ
514,149626,2019-01-31,002054.SZ
515,149627,2019-01-31,002055.SZ
523,149635,2019-01-31,002063.SZ
531,149643,2019-01-31,002072.SZ
538,149650,2019-01-31,002079.SZ
548,149660,2019-01-31,002089.SZ
557,149669,2019-01-31,002098.SZ
562,149674,2019-01-31,002103.SZ
565,149677,2019-01-31,002106.SZ
572,149684,2019-01-31,002113.SZ
574,149686,2019-01-31,002115.SZ
575,149687,2019-01-31,002116.SZ
577,149689,2019-01-31,002118.SZ
583,149695,2019-01-31,002124.SZ
586,149698,2019-01-31,002127.SZ
588,149700,2019-01-31,002129.SZ
596,149708,2019-01-31,002137.SZ
602,149714,2019-01-31,002143.SZ
607,149719,2019-01-31,002148.SZ
614,149726,2019-01-31,002155.SZ
616,149728,2019-01-31,002157.SZ
617,149729,2019-01-31,002158.SZ
629,149741,2019-01-31,002170.SZ
634,149746,2019-01-31,002175.SZ
640,149752,2019-01-31,002181.SZ
651,149763,2019-01-31,002192.SZ
676,149788,2019-01-31,002217.SZ
678,149790,2019-01-31,002219.SZ
693,149805,2019-01-31,002234.SZ
699,149811,2019-01-31,002240.SZ
702,149814,2019-01-31,002243.SZ
706,149818,2019-01-31,002247.SZ
708,149820,2019-01-31,002249.SZ
711,149823,2019-01-31,002252.SZ
714,149826,2019-01-31,002255.SZ
719,149831,2019-01-31,002261.SZ
722,149834,2019-01-31,002264.SZ
728,149840,2019-01-31,002270.SZ
730,149842,2019-01-31,002272.SZ
746,149858,2019-01-31,002288.SZ
748,149860,2019-01-31,002290.SZ
763,149875,2019-01-31,002305.SZ
766,149878,2019-01-31,002308.SZ
767,149879,2019-01-31,002309.SZ
774,149886,2019-01-31,002316.SZ
777,149889,2019-01-31,002319.SZ
781,149893,2019-01-31,002323.SZ
794,149906,2019-01-31,002336.SZ
795,149907,2019-01-31,002337.SZ
797,149909,2019-01-31,002339.SZ
801,149913,2019-01-31,002343.SZ
812,149924,2019-01-31,002354.SZ
824,149936,2019-01-31,002366.SZ
825,149937,2019-01-31,002367.SZ
827,149939,2019-01-31,002369.SZ
828,149940,2019-01-31,002370.SZ
829,149941,2019-01-31,002371.SZ
841,149953,2019-01-31,002383.SZ
842,149954,2019-01-31,002384.SZ
845,149957,2019-01-31,002387.SZ
860,149972,2019-01-31,002402.SZ
865,149977,2019-01-31,002407.SZ
872,149984,2019-01-31,002414.SZ
876,149988,2019-01-31,002418.SZ
883,149995,2019-01-31,002425.SZ
884,149996,2019-01-31,002426.SZ
885,149997,2019-01-31,002427.SZ
903,150015,2019-01-31,002445.SZ
904,150016,2019-01-31,002446.SZ
908,150020,2019-01-31,002450.SZ
909,150021,2019-01-31,002451.SZ
914,150026,2019-01-31,002456.SZ
916,150028,2019-01-31,002458.SZ
917,150029,2019-01-31,002459.SZ
921,150033,2019-01-31,002463.SZ
933,150045,2019-01-31,002475.SZ
935,150047,2019-01-31,002477.SZ
944,150056,2019-01-31,002486.SZ
949,150061,2019-01-31,002491.SZ
954,150066,2019-01-31,002496.SZ
956,150068,2019-01-31,002498.SZ
962,150074,2019-01-31,002504.SZ
967,150079,2019-01-31,002509.SZ
975,150087,2019-01-31,002517.SZ
991,150103,2019-01-31,002534.SZ
1002,150114,2019-01-31,002545.SZ
1004,150116,2019-01-31,002547.SZ
1005,150117,2019-01-31,002548.SZ
1012,150124,2019-01-31,002555.SZ
1022,150134,2019-01-31,002565.SZ
1029,150141,2019-01-31,002572.SZ
1032,150144,2019-01-31,002575.SZ
1033,150145,2019-01-31,002576.SZ
1046,150158,2019-01-31,002589.SZ
1053,150165,2019-01-31,002596.SZ
1057,150169,2019-01-31,002600.SZ
1062,150174,2019-01-31,002605.SZ
1063,150175,2019-01-31,002606.SZ
1064,150176,2019-01-31,002607.SZ
1073,150185,2019-01-31,002616.SZ
1078,150190,2019-01-31,002621.SZ
1081,150193,2019-01-31,002624.SZ
1082,150194,2019-01-31,002625.SZ
1087,150199,2019-01-31,002630.SZ
1096,150208,2019-01-31,002639.SZ
1099,150211,2019-01-31,002642.SZ
1123,150235,2019-01-31,002666.SZ
1137,150249,2019-01-31,002680.SZ
1138,150250,2019-01-31,002681.SZ
1141,150253,2019-01-31,002684.SZ
1153,150265,2019-01-31,002696.SZ
1156,150268,2019-01-31,002699.SZ
1164,150276,2019-01-31,002708.SZ
1165,150277,2019-01-31,002709.SZ
1169,150281,2019-01-31,002714.SZ
1171,150283,2019-01-31,002716.SZ
1179,150291,2019-01-31,002725.SZ
1187,150299,2019-01-31,002733.SZ
1193,150305,2019-01-31,002739.SZ
1194,150306,2019-01-31,002740.SZ
1199,150311,2019-01-31,002746.SZ
1207,150319,2019-01-31,002755.SZ
1220,150332,2019-01-31,002769.SZ
1225,150337,2019-01-31,002774.SZ
1229,150341,2019-01-31,002778.SZ
1236,150348,2019-01-31,002786.SZ
1242,150354,2019-01-31,002792.SZ
1245,150357,2019-01-31,002796.SZ
1252,150364,2019-01-31,002803.SZ
1263,150375,2019-01-31,002816.SZ
1283,150395,2019-01-31,002837.SZ
1293,150405,2019-01-31,002848.SZ
1300,150412,2019-01-31,002856.SZ
1304,150416,2019-01-31,002860.SZ
1315,150427,2019-01-31,002871.SZ
1318,150430,2019-01-31,002875.SZ
1319,150431,2019-01-31,002876.SZ
1329,150441,2019-01-31,002886.SZ
1334,150446,2019-01-31,002891.SZ
1337,150449,2019-01-31,002895.SZ
1356,150468,2019-01-31,002916.SZ
1364,150476,2019-01-31,002925.SZ
1366,150478,2019-01-31,002927.SZ
1368,150480,2019-01-31,002929.SZ
1370,150482,2019-01-31,002931.SZ
1375,150487,2019-01-31,002937.SZ
1377,150489,2019-01-31,002939.SZ
1378,150490,2019-01-31,002940.SZ
1379,150491,2019-01-31,002941.SZ
1380,150492,2019-01-31,002942.SZ
1381,150493,2019-01-31,002943.SZ
1382,150494,2019-01-31,002945.SZ
1385,150497,2019-01-31,002948.SZ
1386,150498,2019-01-31,300001.SZ
1388,150500,2019-01-31,300003.SZ
1395,150507,2019-01-31,300010.SZ
1399,150511,2019-01-31,300014.SZ
1403,150515,2019-01-31,300018.SZ
1410,150522,2019-01-31,300025.SZ
1413,150525,2019-01-31,300028.SZ
1417,150529,2019-01-31,300032.SZ
1435,150547,2019-01-31,300050.SZ
1441,150553,2019-01-31,300056.SZ
1445,150557,2019-01-31,300061.SZ
1453,150565,2019-01-31,300069.SZ
1456,150568,2019-01-31,300072.SZ
1464,150576,2019-01-31,300080.SZ
1467,150579,2019-01-31,300083.SZ
1475,150587,2019-01-31,300091.SZ
1476,150588,2019-01-31,300092.SZ
1479,150591,2019-01-31,300095.SZ
1480,150592,2019-01-31,300096.SZ
1482,150594,2019-01-31,300098.SZ
1488,150600,2019-01-31,300104.SZ
1500,150612,2019-01-31,300116.SZ
1502,150614,2019-01-31,300118.SZ
1506,150618,2019-01-31,300122.SZ
1507,150619,2019-01-31,300123.SZ
1513,150625,2019-01-31,300129.SZ
1515,150627,2019-01-31,300131.SZ
1518,150630,2019-01-31,300134.SZ
1520,150632,2019-01-31,300136.SZ
1525,150637,2019-01-31,300141.SZ
1532,150644,2019-01-31,300148.SZ
1546,150658,2019-01-31,300162.SZ
1550,150662,2019-01-31,300166.SZ
1551,150663,2019-01-31,300167.SZ
1581,150693,2019-01-31,300198.SZ
1596,150708,2019-01-31,300213.SZ
1599,150711,2019-01-31,300216.SZ
1604,150716,2019-01-31,300221.SZ
1611,150723,2019-01-31,300228.SZ
1632,150744,2019-01-31,300249.SZ
1633,150745,2019-01-31,300250.SZ
1634,150746,2019-01-31,300251.SZ
1635,150747,2019-01-31,300252.SZ
1648,150760,2019-01-31,300265.SZ
1651,150763,2019-01-31,300268.SZ
1657,150769,2019-01-31,300274.SZ
1670,150782,2019-01-31,300287.SZ
1673,150785,2019-01-31,300290.SZ
1675,150787,2019-01-31,300292.SZ
1679,150791,2019-01-31,300296.SZ
1682,150794,2019-01-31,300299.SZ
1693,150805,2019-01-31,300310.SZ
1695,150807,2019-01-31,300312.SZ
1699,150811,2019-01-31,300316.SZ
1700,150812,2019-01-31,300317.SZ
1702,150814,2019-01-31,300319.SZ
1708,150820,2019-01-31,300325.SZ
1726,150838,2019-01-31,300343.SZ
1736,150848,2019-01-31,300353.SZ
1739,150851,2019-01-31,300356.SZ
1748,150860,2019-01-31,300366.SZ
1752,150864,2019-01-31,300370.SZ
1772,150884,2019-01-31,300391.SZ
1773,150885,2019-01-31,300392.SZ
1783,150895,2019-01-31,300402.SZ
1791,150903,2019-01-31,300410.SZ
1792,150904,2019-01-31,300411.SZ
1794,150906,2019-01-31,300413.SZ
1801,150913,2019-01-31,300420.SZ
1809,150921,2019-01-31,300428.SZ
1812,150924,2019-01-31,300431.SZ
1830,150942,2019-01-31,300449.SZ
1831,150943,2019-01-31,300450.SZ
1834,150946,2019-01-31,300453.SZ
1837,150949,2019-01-31,300456.SZ
1847,150959,2019-01-31,300466.SZ
1871,150983,2019-01-31,300490.SZ
1883,150995,2019-01-31,300502.SZ
1924,151036,2019-01-31,300545.SZ
1926,151038,2019-01-31,300547.SZ
1928,151040,2019-01-31,300549.SZ
1937,151049,2019-01-31,300558.SZ
1946,151058,2019-01-31,300568.SZ
1948,151060,2019-01-31,300570.SZ
1952,151064,2019-01-31,300575.SZ
1959,151071,2019-01-31,300582.SZ
1966,151078,2019-01-31,300589.SZ
1980,151092,2019-01-31,300604.SZ
1990,151102,2019-01-31,300615.SZ
1991,151103,2019-01-31,300616.SZ
1992,151104,2019-01-31,300617.SZ
2004,151116,2019-01-31,300629.SZ
2007,151119,2019-01-31,300632.SZ
2008,151120,2019-01-31,300633.SZ
2010,151122,2019-01-31,300635.SZ
2012,151124,2019-01-31,300637.SZ
2041,151153,2019-01-31,300667.SZ
2048,151160,2019-01-31,300674.SZ
2056,151168,2019-01-31,300682.SZ
2058,151170,2019-01-31,300684.SZ
2067,151179,2019-01-31,300693.SZ
2068,151180,2019-01-31,300694.SZ
2084,151196,2019-01-31,300711.SZ
2096,151208,2019-01-31,300724.SZ
2097,151209,2019-01-31,300725.SZ
2114,151226,2019-01-31,300745.SZ
2115,151227,2019-01-31,300746.SZ
2117,151229,2019-01-31,300748.SZ
2118,151230,2019-01-31,300749.SZ
2121,151233,2019-01-31,300752.SZ
2122,151234,2019-01-31,300753.SZ
2125,151237,2019-01-31,300757.SZ
2163,151275,2019-01-31,600053.SH
2165,151277,2019-01-31,600055.SH
2187,151299,2019-01-31,600078.SH
2191,151303,2019-01-31,600082.SH
2192,151304,2019-01-31,600083.SH
2193,151305,2019-01-31,600084.SH
2207,151319,2019-01-31,600100.SH
2211,151323,2019-01-31,600105.SH
2233,151345,2019-01-31,600128.SH
2240,151352,2019-01-31,600136.SH
2243,151355,2019-01-31,600139.SH
2246,151358,2019-01-31,600145.SH
2256,151368,2019-01-31,600157.SH
2263,151375,2019-01-31,600165.SH
2269,151381,2019-01-31,600171.SH
2270,151382,2019-01-31,600172.SH
2272,151384,2019-01-31,600175.SH
2275,151387,2019-01-31,600178.SH
2288,151400,2019-01-31,600192.SH
2310,151422,2019-01-31,600218.SH
2316,151428,2019-01-31,600225.SH
2326,151438,2019-01-31,600235.SH
2329,151441,2019-01-31,600238.SH
2333,151445,2019-01-31,600242.SH
2336,151448,2019-01-31,600247.SH
2358,151470,2019-01-31,600275.SH
2359,151471,2019-01-31,600276.SH
2363,151475,2019-01-31,600280.SH
2372,151484,2019-01-31,600290.SH
2390,151502,2019-01-31,600311.SH
2391,151503,2019-01-31,600312.SH
2408,151520,2019-01-31,600331.SH
2410,151522,2019-01-31,600333.SH
2431,151543,2019-01-31,600361.SH
2452,151564,2019-01-31,600385.SH
2453,151565,2019-01-31,600386.SH
2462,151574,2019-01-31,600396.SH
2480,151592,2019-01-31,600423.SH
2488,151600,2019-01-31,600438.SH
2491,151603,2019-01-31,600446.SH
2494,151606,2019-01-31,600452.SH
2498,151610,2019-01-31,600459.SH
2499,151611,2019-01-31,600460.SH
2502,151614,2019-01-31,600463.SH
2511,151623,2019-01-31,600478.SH
2517,151629,2019-01-31,600485.SH
2544,151656,2019-01-31,600516.SH
2552,151664,2019-01-31,600525.SH
2559,151671,2019-01-31,600532.SH
2573,151685,2019-01-31,600550.SH
2577,151689,2019-01-31,600556.SH
2588,151700,2019-01-31,600568.SH
2603,151715,2019-01-31,600584.SH
2607,151719,2019-01-31,600588.SH
2613,151725,2019-01-31,600595.SH
2622,151734,2019-01-31,600604.SH
2631,151743,2019-01-31,600614.SH
2637,151749,2019-01-31,600620.SH
2639,151751,2019-01-31,600622.SH
2647,151759,2019-01-31,600634.SH
2648,151760,2019-01-31,600635.SH
2663,151775,2019-01-31,600651.SH
2664,151776,2019-01-31,600652.SH
2665,151777,2019-01-31,600653.SH
2676,151788,2019-01-31,600666.SH
2684,151796,2019-01-31,600677.SH
2704,151816,2019-01-31,600698.SH
2706,151818,2019-01-31,600701.SH
2707,151819,2019-01-31,600702.SH
2716,151828,2019-01-31,600712.SH
2719,151831,2019-01-31,600715.SH
2736,151848,2019-01-31,600732.SH
2737,151849,2019-01-31,600733.SH
2738,151850,2019-01-31,600734.SH
2742,151854,2019-01-31,600738.SH
2755,151867,2019-01-31,600751.SH
2756,151868,2019-01-31,600753.SH
2768,151880,2019-01-31,600766.SH
2775,151887,2019-01-31,600774.SH
2776,151888,2019-01-31,600775.SH
2777,151889,2019-01-31,600776.SH
2780,151892,2019-01-31,600779.SH
2784,151896,2019-01-31,600783.SH
2802,151914,2019-01-31,600804.SH
2804,151916,2019-01-31,600807.SH
2807,151919,2019-01-31,600810.SH
2811,151923,2019-01-31,600815.SH
2821,151933,2019-01-31,600825.SH
2827,151939,2019-01-31,600831.SH
2835,151947,2019-01-31,600841.SH
2846,151958,2019-01-31,600855.SH
2853,151965,2019-01-31,600862.SH
2861,151973,2019-01-31,600870.SH
2863,151975,2019-01-31,600872.SH
2868,151980,2019-01-31,600877.SH
2885,151997,2019-01-31,600895.SH
2891,152003,2019-01-31,600903.SH
2925,152037,2019-01-31,600986.SH
2947,152059,2019-01-31,601012.SH
2957,152069,2019-01-31,601066.SH
2963,152075,2019-01-31,601099.SH
2982,152094,2019-01-31,601162.SH
2987,152099,2019-01-31,601177.SH
2996,152108,2019-01-31,601212.SH
3009,152121,2019-01-31,601298.SH
3040,152152,2019-01-31,601598.SH
3044,152156,2019-01-31,601606.SH
3048,152160,2019-01-31,601615.SH
3049,152161,2019-01-31,601616.SH
3051,152163,2019-01-31,601619.SH
3063,152175,2019-01-31,601700.SH
3076,152188,2019-01-31,601811.SH
3082,152194,2019-01-31,601860.SH
3097,152209,2019-01-31,601901.SH
3098,152210,2019-01-31,601908.SH
3111,152223,2019-01-31,601969.SH
3112,152224,2019-01-31,601975.SH
3116,152228,2019-01-31,601990.SH
3138,152250,2019-01-31,603017.SH
3152,152264,2019-01-31,603032.SH
3164,152276,2019-01-31,603050.SH
3179,152291,2019-01-31,603081.SH
3187,152299,2019-01-31,603098.SH
3189,152301,2019-01-31,603100.SH
3190,152302,2019-01-31,603101.SH
3191,152303,2019-01-31,603103.SH
3192,152304,2019-01-31,603105.SH
3196,152308,2019-01-31,603111.SH
3201,152313,2019-01-31,603121.SH
3212,152324,2019-01-31,603156.SH
3222,152334,2019-01-31,603169.SH
3226,152338,2019-01-31,603180.SH
3229,152341,2019-01-31,603185.SH
3230,152342,2019-01-31,603186.SH
3231,152343,2019-01-31,603187.SH
3235,152347,2019-01-31,603196.SH
3243,152355,2019-01-31,603218.SH
3244,152356,2019-01-31,603220.SH
3260,152372,2019-01-31,603268.SH
3274,152386,2019-01-31,603305.SH
3280,152392,2019-01-31,603315.SH
3285,152397,2019-01-31,603321.SH
3286,152398,2019-01-31,603322.SH
3289,152401,2019-01-31,603328.SH
3293,152405,2019-01-31,603332.SH
3300,152412,2019-01-31,603345.SH
3315,152427,2019-01-31,603377.SH
3329,152441,2019-01-31,603421.SH
3340,152452,2019-01-31,603500.SH
3344,152456,2019-01-31,603507.SH
3359,152471,2019-01-31,603556.SH
3371,152483,2019-01-31,603583.SH
3384,152496,2019-01-31,603602.SH
3385,152497,2019-01-31,603603.SH
3400,152512,2019-01-31,603629.SH
3437,152549,2019-01-31,603700.SH
3449,152561,2019-01-31,603718.SH
3461,152573,2019-01-31,603739.SH
3481,152593,2019-01-31,603803.SH
3498,152610,2019-01-31,603833.SH
3508,152620,2019-01-31,603861.SH
3522,152634,2019-01-31,603886.SH
3544,152656,2019-01-31,603922.SH
3549,152661,2019-01-31,603936.SH
3562,152674,2019-01-31,603976.SH
3581,152693,2019-02-28,000004.SZ
3582,152694,2019-02-28,000005.SZ
3585,152697,2019-02-28,000008.SZ
3587,152699,2019-02-28,000010.SZ
3591,152703,2019-02-28,000016.SZ
3593,152705,2019-02-28,000018.SZ
3597,152709,2019-02-28,000023.SZ
3598,152710,2019-02-28,000025.SZ
3602,152714,2019-02-28,000029.SZ
3609,152721,2019-02-28,000037.SZ
3612,152724,2019-02-28,000040.SZ
3614,152726,2019-02-28,000045.SZ
3615,152727,2019-02-28,000046.SZ
3618,152730,2019-02-28,000050.SZ
3619,152731,2019-02-28,000055.SZ
3621,152733,2019-02-28,000058.SZ
3626,152738,2019-02-28,000063.SZ
3628,152740,2019-02-28,000066.SZ
3629,152741,2019-02-28,000068.SZ
3631,152743,2019-02-28,000070.SZ
3632,152744,2019-02-28,000078.SZ
3633,152745,2019-02-28,000088.SZ
3636,152748,2019-02-28,000096.SZ
3638,152750,2019-02-28,000100.SZ
3639,152751,2019-02-28,000150.SZ
3640,152752,2019-02-28,000151.SZ
3647,152759,2019-02-28,000166.SZ
3650,152762,2019-02-28,000338.SZ
3652,152764,2019-02-28,000401.SZ
3654,152766,2019-02-28,000403.SZ
3658,152770,2019-02-28,000409.SZ
3659,152771,2019-02-28,000410.SZ
3661,152773,2019-02-28,000413.SZ
3662,152774,2019-02-28,000415.SZ
3663,152775,2019-02-28,000416.SZ
3672,152784,2019-02-28,000426.SZ
3680,152792,2019-02-28,000503.SZ
3681,152793,2019-02-28,000504.SZ
3683,152795,2019-02-28,000506.SZ
3684,152796,2019-02-28,000507.SZ
3685,152797,2019-02-28,000509.SZ
3687,152799,2019-02-28,000513.SZ
3690,152802,2019-02-28,000517.SZ
3691,152803,2019-02-28,000518.SZ
3692,152804,2019-02-28,000519.SZ
3698,152810,2019-02-28,000526.SZ
3700,152812,2019-02-28,000529.SZ
3702,152814,2019-02-28,000531.SZ
3703,152815,2019-02-28,000532.SZ
3704,152816,2019-02-28,000533.SZ
3706,152818,2019-02-28,000536.SZ
3710,152822,2019-02-28,000540.SZ
3715,152827,2019-02-28,000546.SZ
3716,152828,2019-02-28,000547.SZ
3723,152835,2019-02-28,000555.SZ
3725,152837,2019-02-28,000558.SZ
3727,152839,2019-02-28,000560.SZ
3729,152841,2019-02-28,000563.SZ
3730,152842,2019-02-28,000564.SZ
3732,152844,2019-02-28,000566.SZ
3736,152848,2019-02-28,000571.SZ
3737,152849,2019-02-28,000572.SZ
3739,152851,2019-02-28,000576.SZ
3742,152854,2019-02-28,000584.SZ
3744,152856,2019-02-28,000586.SZ
3745,152857,2019-02-28,000587.SZ
3749,152861,2019-02-28,000592.SZ
3750,152862,2019-02-28,000593.SZ
3751,152863,2019-02-28,000595.SZ
3758,152870,2019-02-28,000603.SZ
3761,152873,2019-02-28,000607.SZ
3763,152875,2019-02-28,000609.SZ
3764,152876,2019-02-28,000610.SZ
3765,152877,2019-02-28,000611.SZ
3766,152878,2019-02-28,000612.SZ
3770,152882,2019-02-28,000617.SZ
3773,152885,2019-02-28,000622.SZ
3776,152888,2019-02-28,000626.SZ
3777,152889,2019-02-28,000627.SZ
3783,152895,2019-02-28,000633.SZ
3785,152897,2019-02-28,000636.SZ
3787,152899,2019-02-28,000638.SZ
3791,152903,2019-02-28,000652.SZ
3795,152907,2019-02-28,000659.SZ
3796,152908,2019-02-28,000661.SZ
3797,152909,2019-02-28,000662.SZ
3798,152910,2019-02-28,000663.SZ
3800,152912,2019-02-28,000666.SZ
3804,152916,2019-02-28,000670.SZ
3807,152919,2019-02-28,000673.SZ
3809,152921,2019-02-28,000677.SZ
3810,152922,2019-02-28,000678.SZ
3811,152923,2019-02-28,000679.SZ
3813,152925,2019-02-28,000681.SZ
3817,152929,2019-02-28,000686.SZ
3821,152933,2019-02-28,000691.SZ
3824,152936,2019-02-28,000697.SZ
3834,152946,2019-02-28,000710.SZ
3836,152948,2019-02-28,000712.SZ
3845,152957,2019-02-28,000722.SZ
3846,152958,2019-02-28,000723.SZ
3847,152959,2019-02-28,000725.SZ
3849,152961,2019-02-28,000727.SZ
3855,152967,2019-02-28,000735.SZ
3856,152968,2019-02-28,000736.SZ
3860,152972,2019-02-28,000750.SZ
3861,152973,2019-02-28,000751.SZ
3862,152974,2019-02-28,000752.SZ
3863,152975,2019-02-28,000753.SZ
3867,152979,2019-02-28,000758.SZ
3869,152981,2019-02-28,000760.SZ
3872,152984,2019-02-28,000766.SZ
3876,152988,2019-02-28,000777.SZ
3879,152991,2019-02-28,000780.SZ
3881,152993,2019-02-28,000783.SZ
3882,152994,2019-02-28,000785.SZ
3888,153000,2019-02-28,000792.SZ
3889,153001,2019-02-28,000793.SZ
3891,153003,2019-02-28,000796.SZ
3894,153006,2019-02-28,000799.SZ
3896,153008,2019-02-28,000801.SZ
3897,153009,2019-02-28,000802.SZ
3898,153010,2019-02-28,000803.SZ
3899,153011,2019-02-28,000806.SZ
3900,153012,2019-02-28,000807.SZ
3902,153014,2019-02-28,000810.SZ
3904,153016,2019-02-28,000812.SZ
3910,153022,2019-02-28,000820.SZ
3911,153023,2019-02-28,000821.SZ
3913,153025,2019-02-28,000823.SZ
3924,153036,2019-02-28,000838.SZ
3925,153037,2019-02-28,000839.SZ
3928,153040,2019-02-28,000851.SZ
3930,153042,2019-02-28,000856.SZ
3932,153044,2019-02-28,000859.SZ
3934,153046,2019-02-28,000861.SZ
3935,153047,2019-02-28,000862.SZ
3940,153052,2019-02-28,000876.SZ
3945,153057,2019-02-28,000882.SZ
3952,153064,2019-02-28,000890.SZ
