,Unnamed: 0,trade_dt_x,wind_code
15,149127,2019-01-31,000019.SZ
16,149128,2019-01-31,000020.SZ
19,149131,2019-01-31,000025.SZ
53,149165,2019-01-31,000078.SZ
77,149189,2019-01-31,000407.SZ
82,149194,2019-01-31,000413.SZ
84,149196,2019-01-31,000416.SZ
114,149226,2019-01-31,000520.SZ
115,149227,2019-01-31,000521.SZ
135,149247,2019-01-31,000545.SZ
142,149254,2019-01-31,000553.SZ
144,149256,2019-01-31,000555.SZ
146,149258,2019-01-31,000558.SZ
156,149268,2019-01-31,000570.SZ
158,149270,2019-01-31,000572.SZ
163,149275,2019-01-31,000584.SZ
209,149321,2019-01-31,000639.SZ
213,149325,2019-01-31,000655.SZ
231,149343,2019-01-31,000678.SZ
234,149346,2019-01-31,000681.SZ
261,149373,2019-01-31,000717.SZ
283,149395,2019-01-31,000752.SZ
292,149404,2019-01-31,000762.SZ
300,149412,2019-01-31,000780.SZ
312,149424,2019-01-31,000796.SZ
328,149440,2019-01-31,000816.SZ
358,149470,2019-01-31,000868.SZ
377,149489,2019-01-31,000897.SZ
389,149501,2019-01-31,000911.SZ
408,149520,2019-01-31,000933.SZ
413,149525,2019-01-31,000939.SZ
416,149528,2019-01-31,000950.SZ
420,149532,2019-01-31,000955.SZ
432,149544,2019-01-31,000969.SZ
434,149546,2019-01-31,000971.SZ
441,149553,2019-01-31,000980.SZ
448,149560,2019-01-31,000989.SZ
450,149562,2019-01-31,000993.SZ
476,149588,2019-01-31,002016.SZ
478,149590,2019-01-31,002018.SZ
479,149591,2019-01-31,002019.SZ
505,149617,2019-01-31,002045.SZ
512,149624,2019-01-31,002052.SZ
535,149647,2019-01-31,002076.SZ
536,149648,2019-01-31,002077.SZ
537,149649,2019-01-31,002078.SZ
571,149683,2019-01-31,002112.SZ
573,149685,2019-01-31,002114.SZ
580,149692,2019-01-31,002121.SZ
581,149693,2019-01-31,002122.SZ
589,149701,2019-01-31,002130.SZ
600,149712,2019-01-31,002141.SZ
608,149720,2019-01-31,002149.SZ
619,149731,2019-01-31,002160.SZ
620,149732,2019-01-31,002161.SZ
626,149738,2019-01-31,002167.SZ
