,trade_dt_x,wind_code,CITICS_IND_CODE
14,2019-05-31,000002.SZ,b10n010100
33,2019-05-31,000005.SZ,b104020100
39,2019-01-31,000006.SZ,b10n010100
40,2019-02-28,000006.SZ,b10n010100
41,2019-03-29,000006.SZ,b10n010100
45,2019-07-31,000006.SZ,b10n010100
47,2019-09-30,000006.SZ,b10n010100
54,2019-06-28,000007.SZ,b10n020100
64,2019-06-28,000008.SZ,b10a040100
73,2019-05-31,000009.SZ,b10t010100
77,2019-09-30,000009.SZ,b10t010100
91,2019-05-31,000011.SZ,b10n010100
92,2019-06-28,000011.SZ,b10n010100
93,2019-07-31,000011.SZ,b10n010100
101,2019-05-31,000012.SZ,b108020100
106,2019-10-31,000012.SZ,b108020100
117,2019-01-31,000016.SZ,b10g020100
140,2019-05-31,000018.SZ,b107020100
141,2019-06-28,000018.SZ,b107020100
150,2019-06-28,000019.SZ,b10j020400
155,2019-01-31,000020.SZ,b10p030100
160,2019-06-28,000020.SZ,b10p030100
179,2019-05-31,000023.SZ,b108010100
180,2019-06-28,000023.SZ,b108010100
184,2019-10-31,000023.SZ,b108010100
195,2019-01-31,000026.SZ,b10e010300
196,2019-02-28,000026.SZ,b10e010300
197,2019-03-29,000026.SZ,b10e010300
198,2019-04-30,000026.SZ,b10e010300
199,2019-05-31,000026.SZ,b10e010300
201,2019-07-31,000026.SZ,b10e010300
204,2019-10-31,000026.SZ,b10e010300
205,2019-01-31,000027.SZ,b104010100
206,2019-02-28,000027.SZ,b104010100
209,2019-05-31,000027.SZ,b104010100
211,2019-07-31,000027.SZ,b104010100
213,2019-09-30,000027.SZ,b104010100
218,2019-04-30,000028.SZ,b10i040100
219,2019-05-31,000028.SZ,b10i040100
220,2019-06-28,000028.SZ,b10i040100
236,2019-02-28,000030.SZ,b10d030100
240,2019-06-28,000030.SZ,b10d030100
243,2019-09-30,000030.SZ,b10d030100
244,2019-10-31,000030.SZ,b10d030100
245,2019-01-31,000031.SZ,b10n010100
249,2019-06-28,000031.SZ,b10n010100
254,2019-01-31,000032.SZ,b10q020300
258,2019-05-31,000032.SZ,b10q020300
269,2019-06-28,000034.SZ,b10q020300
276,2019-03-29,000035.SZ,b104020100
280,2019-07-31,000035.SZ,b104020100
281,2019-08-30,000035.SZ,b104020100
288,2019-05-31,000036.SZ,b10n010100
293,2019-10-31,000036.SZ,b10n010100
302,2019-10-31,000037.SZ,b104010100
304,2019-02-28,000038.SZ,b10s010500
305,2019-03-29,000038.SZ,b10s010500
308,2019-06-28,000038.SZ,b10s010500
328,2019-06-28,000042.SZ,b10n010100
347,2019-05-31,000046.SZ,b10n010100
350,2019-08-30,000046.SZ,b10n010100
351,2019-09-30,000046.SZ,b10n010100
352,2019-10-31,000046.SZ,b10n010100
385,2019-05-31,000055.SZ,b108030200
404,2019-04-30,000058.SZ,b10n010200
407,2019-07-31,000058.SZ,b10n010200
408,2019-08-30,000058.SZ,b10n010200
411,2019-01-31,000059.SZ,b101020100
414,2019-04-30,000059.SZ,b101020100
415,2019-05-31,000059.SZ,b101020100
418,2019-08-30,000059.SZ,b101020100
429,2019-09-30,000060.SZ,b103020200
455,2019-05-31,000063.SZ,b10q020600
467,2019-07-31,000065.SZ,b107010100
470,2019-10-31,000065.SZ,b107010100
512,2019-05-31,000078.SZ,b10i040100
513,2019-06-28,000078.SZ,b10i040100
517,2019-10-31,000078.SZ,b10i040100
518,2019-01-31,000088.SZ,b10o010100
538,2019-01-31,000090.SZ,b107010100
542,2019-05-31,000090.SZ,b107010100
546,2019-09-30,000090.SZ,b107010100
553,2019-06-28,000096.SZ,b101020400
558,2019-01-31,000099.SZ,b10o040100
559,2019-02-28,000099.SZ,b10o040100
562,2019-05-31,000099.SZ,b10o040100
564,2019-07-31,000099.SZ,b10o040100
567,2019-10-31,000099.SZ,b10o040100
572,2019-05-31,000100.SZ,b10p030100
592,2019-05-31,000151.SZ,b10e020100
596,2019-09-30,000151.SZ,b10e020100
597,2019-10-31,000151.SZ,b10e020100
601,2019-04-30,000153.SZ,b10i010200
602,2019-05-31,000153.SZ,b10i010200
603,2019-06-28,000153.SZ,b10i010200
604,2019-07-31,000153.SZ,b10i010200
606,2019-09-30,000153.SZ,b10i010200
617,2019-10-31,000155.SZ,b10e020100
623,2019-06-28,000156.SZ,b10s010200
627,2019-10-31,000156.SZ,b10s010200
642,2019-05-31,000158.SZ,b10t010100
648,2019-01-31,000159.SZ,b101020400
653,2019-06-28,000159.SZ,b101020400
677,2019-10-31,000301.SZ,b101020500
683,2019-06-28,000333.SZ,b10g010100
696,2019-09-30,000338.SZ,b10d030100
703,2019-06-28,000400.SZ,b10b020200
706,2019-09-30,000400.SZ,b10b020200
712,2019-05-31,000401.SZ,b108010100
722,2019-05-31,000402.SZ,b10n010200
733,2019-06-28,000403.SZ,b10i030100
739,2019-02-28,000404.SZ,b10g010100
740,2019-03-29,000404.SZ,b10g010100
742,2019-05-31,000404.SZ,b10g010100
743,2019-06-28,000404.SZ,b10g010100
744,2019-07-31,000404.SZ,b10g010100
746,2019-09-30,000404.SZ,b10g010100
747,2019-10-31,000404.SZ,b10g010100
758,2019-01-31,000408.SZ,b106010200
785,2019-01-31,000411.SZ,b10i040100
791,2019-07-31,000411.SZ,b10i040100
794,2019-10-31,000411.SZ,b10i040100
809,2019-05-31,000415.SZ,b10m030200
813,2019-09-30,000415.SZ,b10m030200
814,2019-10-31,000415.SZ,b10m030200
819,2019-05-31,000416.SZ,b10m030200
825,2019-01-31,000417.SZ,b10e010100
828,2019-04-30,000417.SZ,b10e010100
829,2019-05-31,000417.SZ,b10e010100
831,2019-07-31,000417.SZ,b10e010100
834,2019-10-31,000417.SZ,b10e010100
842,2019-04-30,000419.SZ,b10e010100
843,2019-05-31,000419.SZ,b10e010100
844,2019-06-28,000419.SZ,b10e010100
847,2019-09-30,000419.SZ,b10e010100
848,2019-10-31,000419.SZ,b10e010100
849,2019-01-31,000420.SZ,b106020400
854,2019-06-28,000420.SZ,b106020400
857,2019-09-30,000420.SZ,b106020400
862,2019-04-30,000421.SZ,b104020300
863,2019-05-31,000421.SZ,b104020300
867,2019-09-30,000421.SZ,b104020300
903,2019-05-31,000426.SZ,b103020200
908,2019-01-31,000428.SZ,b10f020100
909,2019-02-28,000428.SZ,b10f020100
910,2019-03-29,000428.SZ,b10f020100
911,2019-04-30,000428.SZ,b10f020100
912,2019-05-31,000428.SZ,b10f020100
915,2019-08-30,000428.SZ,b10f020100
916,2019-09-30,000428.SZ,b10f020100
928,2019-01-31,000430.SZ,b10f010100
929,2019-02-28,000430.SZ,b10f010100
931,2019-04-30,000430.SZ,b10f010100
933,2019-06-28,000430.SZ,b10f010100
940,2019-03-29,000488.SZ,b109010100
948,2019-01-31,000498.SZ,b107010100
949,2019-02-28,000498.SZ,b107010100
950,2019-03-29,000498.SZ,b107010100
951,2019-04-30,000498.SZ,b107010100
956,2019-09-30,000498.SZ,b107010100
957,2019-10-31,000498.SZ,b107010100
958,2019-01-31,000501.SZ,b10e010100
961,2019-04-30,000501.SZ,b10e010100
962,2019-05-31,000501.SZ,b10e010100
967,2019-10-31,000501.SZ,b10e010100
972,2019-05-31,000502.SZ,b10n010100
976,2019-09-30,000502.SZ,b10n010100
988,2019-01-31,000505.SZ,b10j030400
989,2019-02-28,000505.SZ,b10j030400
1008,2019-01-31,000507.SZ,b10o030200
1012,2019-05-31,000507.SZ,b10o030200
1014,2019-07-31,000507.SZ,b10o030200
1030,2019-03-29,000510.SZ,b106030200
1031,2019-04-30,000510.SZ,b106030200
1032,2019-05-31,000510.SZ,b106030200
1042,2019-05-31,000513.SZ,b10i010200
1046,2019-09-30,000513.SZ,b10i010200
1053,2019-06-28,000514.SZ,b10n010100
1062,2019-05-31,000516.SZ,b10e010100
1066,2019-09-30,000516.SZ,b10i040300
1067,2019-10-31,000516.SZ,b10i040300
1086,2019-09-30,000518.SZ,b10i030100
1087,2019-10-31,000518.SZ,b10i030100
1088,2019-01-31,000519.SZ,b10c020100
1091,2019-04-30,000519.SZ,b10c020100
1092,2019-05-31,000519.SZ,b10c020100
1093,2019-06-28,000519.SZ,b10c020100
1094,2019-07-31,000519.SZ,b10c020100
1097,2019-10-31,000519.SZ,b10c020100
1102,2019-05-31,000521.SZ,b10g010100
1103,2019-06-28,000521.SZ,b10g010100
1112,2019-06-28,000523.SZ,b106040100
1113,2019-07-31,000523.SZ,b106040100
1114,2019-08-30,000523.SZ,b106040100
1116,2019-10-31,000523.SZ,b106040100
1118,2019-02-28,000524.SZ,b10f020100
1121,2019-05-31,000524.SZ,b10f020100
1122,2019-06-28,000524.SZ,b10f020100
1123,2019-07-31,000524.SZ,b10f020100
1125,2019-09-30,000524.SZ,b10f020100
1126,2019-10-31,000524.SZ,b10f020100
1132,2019-06-28,000525.SZ,b106010500
1151,2019-05-31,000528.SZ,b10a010100
1162,2019-06-28,000529.SZ,b10j030400
1171,2019-05-31,000530.SZ,b10a030500
1172,2019-06-28,000530.SZ,b10a030500
1182,2019-07-31,000531.SZ,b104010100
1189,2019-04-30,000532.SZ,b10p030100
1190,2019-05-31,000532.SZ,b10p030100
1194,2019-09-30,000532.SZ,b10p030100
1229,2019-05-31,000537.SZ,b10n010100
1245,2019-01-31,000539.SZ,b104010100
1249,2019-05-31,000539.SZ,b104010100
1252,2019-08-30,000539.SZ,b104010100
1253,2019-09-30,000539.SZ,b104010100
1254,2019-10-31,000539.SZ,b104010100
1260,2019-06-28,000540.SZ,b10n010100
1264,2019-10-31,000540.SZ,b10n010100
1269,2019-05-31,000541.SZ,b10g040100
1273,2019-09-30,000541.SZ,b10g040100
1274,2019-10-31,000541.SZ,b10g040100
1277,2019-03-29,000543.SZ,b104010100
1279,2019-05-31,000543.SZ,b104010100
1289,2019-05-31,000544.SZ,b104020100
1292,2019-09-30,000544.SZ,b104020100
1295,2019-02-28,000545.SZ,b106040300
1298,2019-05-31,000545.SZ,b106040300
1300,2019-07-31,000545.SZ,b106040300
1303,2019-10-31,000545.SZ,b106040300
1304,2019-01-31,000546.SZ,b108010100
1318,2019-05-31,000547.SZ,b10c010200
1327,2019-05-31,000548.SZ,b10n010200
1328,2019-06-28,000548.SZ,b10n010200
1345,2019-03-29,000551.SZ,b10b020100
1351,2019-09-30,000551.SZ,b10b020100
1352,2019-10-31,000551.SZ,b10b020100
1357,2019-05-31,000552.SZ,b102010100
1362,2019-10-31,000552.SZ,b102010100
1368,2019-06-28,000553.SZ,b106010500
1372,2019-10-31,000553.SZ,b106010500
1379,2019-07-31,000554.SZ,b101020400
1382,2019-10-31,000554.SZ,b101020400
1413,2019-01-31,000559.SZ,b10d030100
1417,2019-05-31,000559.SZ,b10d030100
1419,2019-07-31,000559.SZ,b10d030100
1426,2019-05-31,000560.SZ,b10e010100
1427,2019-06-28,000560.SZ,b10e010100
1436,2019-05-31,000561.SZ,b10c030100
1437,2019-06-28,000561.SZ,b10c030100
1440,2019-09-30,000561.SZ,b10c030100
1441,2019-10-31,000561.SZ,b10c030100
1455,2019-05-31,000564.SZ,b10e010100
1460,2019-10-31,000564.SZ,b10e010100
1461,2019-01-31,000565.SZ,b106040300
1466,2019-06-28,000565.SZ,b106040300
1467,2019-07-31,000565.SZ,b106040300
1469,2019-09-30,000565.SZ,b106040300
1470,2019-10-31,000565.SZ,b106040300
1489,2019-09-30,000567.SZ,b10m030200
1507,2019-07-31,000570.SZ,b10a030500
1524,2019-06-28,000572.SZ,b10d010100
1531,2019-03-29,000573.SZ,b10n010100
1535,2019-07-31,000573.SZ,b10n010100
1538,2019-10-31,000573.SZ,b10n010100
1551,2019-04-30,000581.SZ,b10d030100
1552,2019-05-31,000581.SZ,b10d030100
1555,2019-08-30,000581.SZ,b10d030100
1558,2019-01-31,000582.SZ,b10o030200
1562,2019-05-31,000582.SZ,b10o030200
1565,2019-08-30,000582.SZ,b10o030200
1566,2019-09-30,000582.SZ,b10o030200
1567,2019-10-31,000582.SZ,b10o030200
1572,2019-05-31,000584.SZ,b10a020300
1606,2019-01-31,000589.SZ,b10d030100
1607,2019-02-28,000589.SZ,b10d030100
1609,2019-04-30,000589.SZ,b10d030100
1611,2019-06-28,000589.SZ,b10d030100
1620,2019-05-31,000591.SZ,b104010300
1624,2019-09-30,000591.SZ,b104010300
1630,2019-05-31,000592.SZ,b10k030100
1634,2019-09-30,000592.SZ,b10k030100
1638,2019-04-30,000593.SZ,b104020300
1639,2019-05-31,000593.SZ,b104020300
1666,2019-03-29,000597.SZ,b10i010100
