,trade_dt_x,wind_code,CITICS_IND_CODE
32376,2019-06-28,300702.SZ,b10i010200
32377,2019-07-31,300702.SZ,b10i010200
32379,2019-09-30,300702.SZ,b10i010200
32380,2019-10-31,300702.SZ,b10i010200
32382,2019-02-28,300703.SZ,b109020300
32383,2019-03-29,300703.SZ,b109020300
32390,2019-10-31,300703.SZ,b109020300
32414,2019-06-28,603079.SH,b10i010100
32416,2019-08-30,603079.SH,b10i010100
32417,2019-09-30,603079.SH,b10i010100
32420,2019-02-28,603127.SH,b10i040300
32425,2019-07-31,603127.SH,b10i040300
32426,2019-08-30,603127.SH,b10i040300
32427,2019-09-30,603127.SH,b10i040300
32431,2019-03-29,603129.SH,b10d050100
32432,2019-04-30,603129.SH,b10d050100
32436,2019-08-30,603129.SH,b10d050100
32438,2019-10-31,603129.SH,b10d050100
32440,2019-02-28,603181.SH,b106040700
32449,2019-01-31,603183.SH,b10t010100
32470,2019-02-28,603305.SH,b10d030100
32508,2019-01-31,603386.SH,b10p030100
32524,2019-07-31,603500.SH,b10a040100
32566,2019-01-31,603721.SH,b10s010200
32572,2019-07-31,603721.SH,b10s010200
32575,2019-10-31,603721.SH,b10s010200
32605,2019-10-31,603976.SH,b109020200
32614,2019-09-30,603978.SH,b103020500
32621,2019-07-31,002893.SZ,b104020400
32648,2019-04-30,002901.SZ,b10i040200
32653,2019-09-30,002901.SZ,b10i040200
32654,2019-10-31,002901.SZ,b10i040200
32696,2019-04-30,300697.SZ,b103020100
32698,2019-06-28,300697.SZ,b103020100
32701,2019-09-30,300697.SZ,b103020100
32702,2019-10-31,300697.SZ,b103020100
32708,2019-06-28,300698.SZ,b10q020700
32709,2019-07-31,300698.SZ,b10q020700
32712,2019-10-31,300698.SZ,b10q020700
32713,2019-01-31,300700.SZ,b10a030400
32733,2019-01-31,300705.SZ,b10i010200
32753,2019-01-31,300707.SZ,b10d030100
32770,2019-08-30,300709.SZ,b10p030100
32771,2019-09-30,300709.SZ,b10p030100
32825,2019-07-31,603110.SH,b106040300
32836,2019-09-30,603157.SH,b10h050200
32862,2019-05-31,603378.SH,b106040300
32870,2019-03-29,603396.SH,b10b030300
32871,2019-04-30,603396.SH,b10b030300
32903,2019-07-31,603882.SH,b10i040300
32914,2019-09-30,603922.SH,b10d030100
32916,2019-01-31,603963.SH,b10i020200
32919,2019-04-30,603963.SH,b10i020200
32926,2019-01-31,002903.SZ,b10a030200
32945,2019-01-31,002908.SZ,b10q020300
32955,2019-01-31,002909.SZ,b106040700
32958,2019-04-30,002909.SZ,b106040700
32961,2019-07-31,002909.SZ,b106040700
32965,2019-01-31,002910.SZ,b10j030300
32978,2019-04-30,300708.SZ,b10p020100
32983,2019-09-30,300708.SZ,b10p020100
32987,2019-04-30,300710.SZ,b10q020600
32990,2019-07-31,300710.SZ,b10q020600
32993,2019-10-31,300710.SZ,b10q020600
33005,2019-02-28,300712.SZ,b107020100
33012,2019-09-30,300712.SZ,b107020100
33025,2019-02-28,300715.SZ,b108030200
33026,2019-03-29,300715.SZ,b108030200
33036,2019-03-29,300716.SZ,b106040600
33044,2019-01-31,300717.SZ,b106040600
33072,2019-09-30,300719.SZ,b10c010100
33075,2019-02-28,300720.SZ,b10a050100
33076,2019-03-29,300720.SZ,b10a050100
33096,2019-03-29,300723.SZ,b10i010200
33134,2019-01-31,603076.SH,b10a020300
33136,2019-03-29,603076.SH,b10a020300
33144,2019-01-31,603083.SH,b10q020300
33145,2019-02-28,603083.SH,b10q020300
33147,2019-04-30,603083.SH,b10q020300
33155,2019-02-28,603136.SH,b10f010100
33161,2019-08-30,603136.SH,b10f010100
33163,2019-10-31,603136.SH,b10f010100
33165,2019-02-28,603260.SH,b103030100
33166,2019-03-29,603260.SH,b103030100
33167,2019-04-30,603260.SH,b103030100
33190,2019-07-31,603289.SH,b10a020300
33204,2019-01-31,603466.SH,b107020100
33213,2019-10-31,603466.SH,b107020100
33217,2019-04-30,603499.SH,b109020200
33219,2019-06-28,603499.SH,b109020200
33222,2019-09-30,603499.SH,b109020200
33227,2019-04-30,603507.SH,b10b030300
33235,2019-02-28,603605.SH,b106040100
33240,2019-07-31,603605.SH,b106040100
33241,2019-08-30,603605.SH,b106040100
33242,2019-09-30,603605.SH,b106040100
