,trade_dt_x,wind_code,CITICS_IND_CODE
29,2019-01-31,000005.SZ,b104020100
74,2019-06-28,000009.SZ,b10t010100
90,2019-04-30,000011.SZ,b10n010100
95,2019-09-30,000011.SZ,b10n010100
96,2019-10-31,000011.SZ,b10n010100
126,2019-10-31,000016.SZ,b10g020100
132,2019-06-28,000017.SZ,b10a040300
154,2019-10-31,000019.SZ,b10j020400
215,2019-01-31,000028.SZ,b10i040100
216,2019-02-28,000028.SZ,b10i040100
217,2019-03-29,000028.SZ,b10i040100
257,2019-04-30,000032.SZ,b10q020300
262,2019-09-30,000032.SZ,b10q020300
277,2019-04-30,000035.SZ,b104020100
294,2019-01-31,000037.SZ,b104010100
301,2019-09-30,000037.SZ,b104010100
322,2019-10-31,000039.SZ,b10a030300
330,2019-08-30,000042.SZ,b10n010100
331,2019-09-30,000042.SZ,b10n010100
333,2019-01-31,000045.SZ,b10p030100
343,2019-01-31,000046.SZ,b10n010100
371,2019-10-31,000049.SZ,b10p030100
372,2019-01-31,000050.SZ,b10p030100
384,2019-04-30,000055.SZ,b108030200
386,2019-06-28,000055.SZ,b108030200
389,2019-09-30,000055.SZ,b108030200
391,2019-01-31,000056.SZ,b10n010200
450,2019-10-31,000062.SZ,b10n010200
461,2019-01-31,000065.SZ,b107010100
550,2019-03-29,000096.SZ,b101020400
560,2019-03-29,000099.SZ,b10o040100
561,2019-04-30,000099.SZ,b10o040100
593,2019-06-28,000151.SZ,b10e020100
600,2019-03-29,000153.SZ,b10i010200
611,2019-04-30,000155.SZ,b106010100
625,2019-08-30,000156.SZ,b10s010200
638,2019-01-31,000158.SZ,b10t010100
646,2019-09-30,000158.SZ,b10r030200
671,2019-04-30,000301.SZ,b101020500
701,2019-04-30,000400.SZ,b10b020200
717,2019-10-31,000401.SZ,b108010100
741,2019-04-30,000404.SZ,b10g010100
748,2019-01-31,000407.SZ,b104020300
757,2019-10-31,000407.SZ,b104020300
759,2019-02-28,000408.SZ,b106010200
760,2019-03-29,000408.SZ,b106010200
811,2019-07-31,000415.SZ,b10m030200
826,2019-02-28,000417.SZ,b10e010100
839,2019-01-31,000419.SZ,b10e010100
977,2019-10-31,000502.SZ,b10n010100
991,2019-04-30,000505.SZ,b10j030400
1011,2019-04-30,000507.SZ,b10o030200
1037,2019-10-31,000510.SZ,b106030200
1038,2019-01-31,000513.SZ,b10i010200
1040,2019-03-29,000513.SZ,b10i010200
1049,2019-02-28,000514.SZ,b10n010100
1056,2019-09-30,000514.SZ,b10n010100
1075,2019-08-30,000517.SZ,b10n010100
1077,2019-10-31,000517.SZ,b10n010100
1096,2019-09-30,000519.SZ,b10c020100
1101,2019-04-30,000521.SZ,b10g010100
1106,2019-09-30,000521.SZ,b10g010100
1110,2019-03-29,000523.SZ,b106040100
1115,2019-09-30,000523.SZ,b106040100
1117,2019-01-31,000524.SZ,b10f020100
1119,2019-03-29,000524.SZ,b10f020100
1130,2019-04-30,000525.SZ,b106010500
1167,2019-01-31,000530.SZ,b10a030500
1174,2019-09-30,000530.SZ,b10a030500
1175,2019-10-31,000530.SZ,b10a030500
1176,2019-01-31,000531.SZ,b104010100
1178,2019-03-29,000531.SZ,b104010100
1179,2019-04-30,000531.SZ,b104010100
1186,2019-01-31,000532.SZ,b10p030100
1201,2019-07-31,000533.SZ,b10g040200
1321,2019-09-30,000547.SZ,b10c010200
1343,2019-01-31,000551.SZ,b10b020100
