,trade_dt_x,wind_code,CITICS_IND_CODE
4,2019-05-31,000001.SZ,b10l020100
5,2019-06-28,000001.SZ,b10l020100
42,2019-04-30,000006.SZ,b10n010100
44,2019-06-28,000006.SZ,b10n010100
46,2019-08-30,000006.SZ,b10n010100
63,2019-05-31,000008.SZ,b10a040100
66,2019-08-30,000008.SZ,b10a040100
75,2019-07-31,000009.SZ,b10t010100
78,2019-10-31,000009.SZ,b10t010100
82,2019-06-28,000010.SZ,b107010100
86,2019-10-31,000010.SZ,b107010100
102,2019-06-28,000012.SZ,b108020100
120,2019-04-30,000016.SZ,b10g020100
122,2019-06-28,000016.SZ,b10g020100
123,2019-07-31,000016.SZ,b10g020100
124,2019-08-30,000016.SZ,b10g020100
159,2019-05-31,000020.SZ,b10p030100
200,2019-06-28,000026.SZ,b10e010300
212,2019-08-30,000027.SZ,b104010100
239,2019-05-31,000030.SZ,b10d030100
241,2019-07-31,000030.SZ,b10d030100
251,2019-08-30,000031.SZ,b10n010100
252,2019-09-30,000031.SZ,b10n010100
259,2019-06-28,000032.SZ,b10q020300
270,2019-07-31,000034.SZ,b10r030200
274,2019-01-31,000035.SZ,b104020100
275,2019-02-28,000035.SZ,b104020100
278,2019-05-31,000035.SZ,b104020100
283,2019-10-31,000035.SZ,b104020100
292,2019-09-30,000036.SZ,b10n010100
316,2019-04-30,000039.SZ,b10a030300
317,2019-05-31,000039.SZ,b10a030300
318,2019-06-28,000039.SZ,b10a030300
319,2019-07-31,000039.SZ,b10a030300
325,2019-03-29,000042.SZ,b10n010100
332,2019-10-31,000042.SZ,b10n010100
336,2019-04-30,000045.SZ,b10p030100
337,2019-05-31,000045.SZ,b10p030100
338,2019-06-28,000045.SZ,b10p030100
339,2019-07-31,000045.SZ,b10p030100
342,2019-10-31,000045.SZ,b10p030100
356,2019-05-31,000048.SZ,b10k020100
358,2019-07-31,000048.SZ,b10k020100
362,2019-01-31,000049.SZ,b10p030100
364,2019-03-29,000049.SZ,b10p030100
365,2019-04-30,000049.SZ,b10p030100
366,2019-05-31,000049.SZ,b10p030100
381,2019-10-31,000050.SZ,b10p030100
387,2019-07-31,000055.SZ,b108030200
397,2019-07-31,000056.SZ,b10n010200
403,2019-03-29,000058.SZ,b10n010200
410,2019-10-31,000058.SZ,b10n010200
416,2019-06-28,000059.SZ,b101020100
417,2019-07-31,000059.SZ,b101020100
420,2019-10-31,000059.SZ,b101020100
428,2019-08-30,000060.SZ,b103020200
430,2019-10-31,000060.SZ,b103020200
436,2019-06-28,000061.SZ,b10k010300
445,2019-05-31,000062.SZ,b10n010200
446,2019-06-28,000062.SZ,b10n010200
465,2019-05-31,000065.SZ,b107010100
466,2019-06-28,000065.SZ,b107010100
484,2019-06-28,000068.SZ,b104020100
522,2019-05-31,000088.SZ,b10o010100
528,2019-01-31,000089.SZ,b10o040200
529,2019-02-28,000089.SZ,b10o040200
530,2019-03-29,000089.SZ,b10o040200
533,2019-06-28,000089.SZ,b10o040200
534,2019-07-31,000089.SZ,b10o040200
543,2019-06-28,000090.SZ,b107010100
544,2019-07-31,000090.SZ,b107010100
552,2019-05-31,000096.SZ,b101020400
557,2019-10-31,000096.SZ,b101020400
573,2019-06-28,000100.SZ,b10p030100
577,2019-10-31,000100.SZ,b10p030100
612,2019-05-31,000155.SZ,b106010100
613,2019-06-28,000155.SZ,b106010100
614,2019-07-31,000155.SZ,b10e020100
615,2019-08-30,000155.SZ,b10e020100
618,2019-01-31,000156.SZ,b10s010200
624,2019-07-31,000156.SZ,b10s010200
628,2019-01-31,000157.SZ,b10a010100
629,2019-02-28,000157.SZ,b10a010100
630,2019-03-29,000157.SZ,b10a010100
631,2019-04-30,000157.SZ,b10a010100
633,2019-06-28,000157.SZ,b10a010100
635,2019-08-30,000157.SZ,b10a010100
654,2019-07-31,000159.SZ,b101020400
662,2019-05-31,000166.SZ,b10m010100
665,2019-08-30,000166.SZ,b10m010100
667,2019-10-31,000166.SZ,b10m010100
672,2019-05-31,000301.SZ,b101020500
673,2019-06-28,000301.SZ,b101020500
675,2019-08-30,000301.SZ,b101020500
676,2019-09-30,000301.SZ,b101020500
682,2019-05-31,000333.SZ,b10g010100
686,2019-09-30,000333.SZ,b10g010100
692,2019-05-31,000338.SZ,b10d030100
693,2019-06-28,000338.SZ,b10d030100
694,2019-07-31,000338.SZ,b10d030100
695,2019-08-30,000338.SZ,b10d030100
702,2019-05-31,000400.SZ,b10b020200
705,2019-08-30,000400.SZ,b10b020200
713,2019-06-28,000401.SZ,b108010100
718,2019-01-31,000402.SZ,b10n010200
721,2019-04-30,000402.SZ,b10n010200
723,2019-06-28,000402.SZ,b10n010200
725,2019-08-30,000402.SZ,b10n010200
745,2019-08-30,000404.SZ,b10g010100
755,2019-08-30,000407.SZ,b104020300
761,2019-04-30,000408.SZ,b106010200
763,2019-06-28,000408.SZ,b106010200
772,2019-06-28,000409.SZ,b10t010100
773,2019-07-31,000409.SZ,b10t010100
790,2019-06-28,000411.SZ,b10i040100
793,2019-09-30,000411.SZ,b10i040100
800,2019-06-28,000413.SZ,b10p030100
801,2019-07-31,000413.SZ,b10p030100
805,2019-01-31,000415.SZ,b10m030200
823,2019-09-30,000416.SZ,b10m030200
824,2019-10-31,000416.SZ,b10m030200
830,2019-06-28,000417.SZ,b10e010100
835,2019-01-31,000418.SZ,b10g010100
838,2019-04-30,000418.SZ,b10g010100
853,2019-05-31,000420.SZ,b106020400
855,2019-07-31,000420.SZ,b106020400
856,2019-08-30,000420.SZ,b106020400
859,2019-01-31,000421.SZ,b104020300
860,2019-02-28,000421.SZ,b104020300
866,2019-08-30,000421.SZ,b104020300
871,2019-03-29,000422.SZ,b106010100
873,2019-05-31,000422.SZ,b106010100
879,2019-01-31,000423.SZ,b10i020200
887,2019-09-30,000423.SZ,b10i020200
889,2019-01-31,000425.SZ,b10a010100
894,2019-06-28,000425.SZ,b10a010100
896,2019-08-30,000425.SZ,b10a010100
914,2019-07-31,000428.SZ,b10f020100
918,2019-01-31,000429.SZ,b10o010100
921,2019-04-30,000429.SZ,b10o010100
923,2019-06-28,000429.SZ,b10o010100
924,2019-07-31,000429.SZ,b10o010100
926,2019-09-30,000429.SZ,b10o010100
927,2019-10-31,000429.SZ,b10o010100
937,2019-10-31,000430.SZ,b10f010100
944,2019-07-31,000488.SZ,b109010100
952,2019-05-31,000498.SZ,b107010100
953,2019-06-28,000498.SZ,b107010100
954,2019-07-31,000498.SZ,b107010100
963,2019-06-28,000501.SZ,b10e010100
964,2019-07-31,000501.SZ,b10e010100
965,2019-08-30,000501.SZ,b10e010100
966,2019-09-30,000501.SZ,b10e010100
985,2019-08-30,000503.SZ,b10i040300
993,2019-06-28,000505.SZ,b10j030400
1041,2019-04-30,000513.SZ,b10i010200
