,trade_dt_x,wind_code,CITICS_IND_CODE
103,2019-07-31,000012.SZ,b108020100
111,2019-05-31,000014.SZ,b10n010100
112,2019-06-28,000014.SZ,b10n010100
116,2019-10-31,000014.SZ,b10n010100
121,2019-05-31,000016.SZ,b10g020100
142,2019-07-31,000018.SZ,b107020100
152,2019-08-30,000019.SZ,b10j020400
161,2019-07-31,000020.SZ,b10p030100
165,2019-01-31,000021.SZ,b10p020100
170,2019-06-28,000021.SZ,b10p020100
208,2019-04-30,000027.SZ,b104010100
210,2019-06-28,000027.SZ,b104010100
214,2019-10-31,000027.SZ,b104010100
235,2019-01-31,000030.SZ,b10d030100
242,2019-08-30,000030.SZ,b10d030100
246,2019-02-28,000031.SZ,b10n010100
260,2019-07-31,000032.SZ,b10q020300
313,2019-01-31,000039.SZ,b10a030300
314,2019-02-28,000039.SZ,b10a030300
329,2019-07-31,000042.SZ,b10n010100
406,2019-06-28,000058.SZ,b10n010200
419,2019-09-30,000059.SZ,b101020100
425,2019-05-31,000060.SZ,b103020200
427,2019-07-31,000060.SZ,b103020200
431,2019-01-31,000061.SZ,b10k010300
435,2019-05-31,000061.SZ,b10k010300
438,2019-08-30,000061.SZ,b10k010300
439,2019-09-30,000061.SZ,b10k010300
440,2019-10-31,000061.SZ,b10k010300
447,2019-07-31,000062.SZ,b10n010200
524,2019-07-31,000088.SZ,b10o010100
531,2019-04-30,000089.SZ,b10o040200
532,2019-05-31,000089.SZ,b10o040200
537,2019-10-31,000089.SZ,b10o040200
547,2019-10-31,000090.SZ,b107010100
555,2019-08-30,000096.SZ,b101020400
574,2019-07-31,000100.SZ,b10p030100
598,2019-01-31,000153.SZ,b10i010200
645,2019-08-30,000158.SZ,b10r030200
664,2019-07-31,000166.SZ,b10m010100
668,2019-01-31,000301.SZ,b101020500
674,2019-07-31,000301.SZ,b101020500
724,2019-07-31,000402.SZ,b10n010200
728,2019-01-31,000403.SZ,b10i030100
732,2019-05-31,000403.SZ,b10i030100
754,2019-07-31,000407.SZ,b104020300
789,2019-05-31,000411.SZ,b10i040100
810,2019-06-28,000415.SZ,b10m030200
812,2019-08-30,000415.SZ,b10m030200
840,2019-02-28,000419.SZ,b10e010100
841,2019-03-29,000419.SZ,b10e010100
845,2019-07-31,000419.SZ,b10e010100
846,2019-08-30,000419.SZ,b10e010100
864,2019-06-28,000421.SZ,b104020300
865,2019-07-31,000421.SZ,b104020300
868,2019-10-31,000421.SZ,b104020300
893,2019-05-31,000425.SZ,b10a010100
913,2019-06-28,000428.SZ,b10f020100
917,2019-10-31,000428.SZ,b10f020100
922,2019-05-31,000429.SZ,b10o010100
925,2019-08-30,000429.SZ,b10o010100
932,2019-05-31,000430.SZ,b10f010100
934,2019-07-31,000430.SZ,b10f010100
935,2019-08-30,000430.SZ,b10f010100
947,2019-10-31,000488.SZ,b109010100
973,2019-06-28,000502.SZ,b10n010100
