,trade_dt_x,wind_code,CITICS_IND_CODE
35,2019-07-31,000005.SZ,b104020100
36,2019-08-30,000005.SZ,b104020100
37,2019-09-30,000005.SZ,b104020100
67,2019-09-30,000008.SZ,b10a040100
99,2019-03-29,000012.SZ,b108020100
114,2019-08-30,000014.SZ,b10n010100
115,2019-09-30,000014.SZ,b10n010100
127,2019-01-31,000017.SZ,b10a040300
128,2019-02-28,000017.SZ,b10a040300
129,2019-03-29,000017.SZ,b10a040300
131,2019-05-31,000017.SZ,b10a040300
135,2019-10-31,000017.SZ,b10a040300
149,2019-05-31,000019.SZ,b10j020400
162,2019-08-30,000020.SZ,b10p030100
163,2019-09-30,000020.SZ,b10p030100
168,2019-04-30,000021.SZ,b10p020100
171,2019-07-31,000021.SZ,b10p020100
181,2019-07-31,000023.SZ,b108010100
183,2019-09-30,000023.SZ,b108010100
237,2019-03-29,000030.SZ,b10d030100
256,2019-03-29,000032.SZ,b10q020300
345,2019-03-29,000046.SZ,b10n010100
367,2019-06-28,000049.SZ,b10p030100
379,2019-08-30,000050.SZ,b10p030100
388,2019-08-30,000055.SZ,b108030200
390,2019-10-31,000055.SZ,b108030200
395,2019-05-31,000056.SZ,b10n010200
396,2019-06-28,000056.SZ,b10n010200
468,2019-08-30,000065.SZ,b107010100
483,2019-05-31,000068.SZ,b104020100
504,2019-06-28,000070.SZ,b10q020700
509,2019-01-31,000078.SZ,b10i040100
511,2019-04-30,000078.SZ,b10i040100
515,2019-08-30,000078.SZ,b10i040100
535,2019-08-30,000089.SZ,b10o040200
536,2019-09-30,000089.SZ,b10o040200
595,2019-08-30,000151.SZ,b10e020100
607,2019-10-31,000153.SZ,b10i010200
608,2019-01-31,000155.SZ,b106010100
655,2019-08-30,000159.SZ,b101020400
656,2019-09-30,000159.SZ,b101020400
681,2019-04-30,000333.SZ,b10g010100
698,2019-01-31,000400.SZ,b10b020200
752,2019-05-31,000407.SZ,b104020300
753,2019-06-28,000407.SZ,b104020300
767,2019-10-31,000408.SZ,b106010200
781,2019-05-31,000410.SZ,b10a030200
783,2019-07-31,000410.SZ,b10a030200
795,2019-01-31,000413.SZ,b10p030100
802,2019-08-30,000413.SZ,b10p030100
804,2019-10-31,000413.SZ,b10p030100
815,2019-01-31,000416.SZ,b10m030200
817,2019-03-29,000416.SZ,b10m030200
822,2019-08-30,000416.SZ,b10m030200
882,2019-04-30,000423.SZ,b10i020200
907,2019-10-31,000426.SZ,b103020200
942,2019-05-31,000488.SZ,b109010100
955,2019-08-30,000498.SZ,b107010100
974,2019-07-31,000502.SZ,b10n010100
982,2019-05-31,000503.SZ,b10i040300
983,2019-06-28,000503.SZ,b10i040300
997,2019-10-31,000505.SZ,b10j030400
1001,2019-04-30,000506.SZ,b10n010100
1002,2019-05-31,000506.SZ,b10n010100
1004,2019-07-31,000506.SZ,b10n010100
1007,2019-10-31,000506.SZ,b10n010100
1017,2019-10-31,000507.SZ,b10o030200
1025,2019-08-30,000509.SZ,b108030200
1033,2019-06-28,000510.SZ,b106030200
1035,2019-08-30,000510.SZ,b106030200
1059,2019-02-28,000516.SZ,b10e010100
1060,2019-03-29,000516.SZ,b10e010100
1081,2019-04-30,000518.SZ,b10i030100
1085,2019-08-30,000518.SZ,b10i030100
1098,2019-01-31,000521.SZ,b10g010100
1131,2019-05-31,000525.SZ,b106010500
1140,2019-04-30,000526.SZ,b10n010100
1199,2019-05-31,000533.SZ,b10g040200
1200,2019-06-28,000533.SZ,b10g040200
1219,2019-05-31,000536.SZ,b10p030100
1220,2019-06-28,000536.SZ,b10p030100
1225,2019-01-31,000537.SZ,b10n010100
1227,2019-03-29,000537.SZ,b10n010100
1230,2019-06-28,000537.SZ,b10n010100
1258,2019-04-30,000540.SZ,b10n010100
1259,2019-05-31,000540.SZ,b10n010100
1294,2019-01-31,000545.SZ,b106040300
