,trade_dt_x,wind_code,CITICS_IND_CODE
20,2019-01-31,000004.SZ,b10i010200
32,2019-04-30,000005.SZ,b104020100
38,2019-10-31,000005.SZ,b104020100
43,2019-05-31,000006.SZ,b10n010100
48,2019-10-31,000006.SZ,b10n010100
62,2019-04-30,000008.SZ,b10a040100
65,2019-07-31,000008.SZ,b10a040100
68,2019-10-31,000008.SZ,b10a040100
69,2019-01-31,000009.SZ,b10t010100
70,2019-02-28,000009.SZ,b10t010100
84,2019-08-30,000010.SZ,b107010100
87,2019-01-31,000011.SZ,b10n010100
88,2019-02-28,000011.SZ,b10n010100
97,2019-01-31,000012.SZ,b108020100
98,2019-02-28,000012.SZ,b108020100
100,2019-04-30,000012.SZ,b108020100
104,2019-08-30,000012.SZ,b108020100
105,2019-09-30,000012.SZ,b108020100
107,2019-01-31,000014.SZ,b10n010100
113,2019-07-31,000014.SZ,b10n010100
125,2019-09-30,000016.SZ,b10g020100
148,2019-04-30,000019.SZ,b10j020400
151,2019-07-31,000019.SZ,b10j020400
153,2019-09-30,000019.SZ,b10j020400
175,2019-01-31,000023.SZ,b108010100
193,2019-09-30,000025.SZ,b10t010100
202,2019-08-30,000026.SZ,b10e010300
203,2019-09-30,000026.SZ,b10e010300
207,2019-03-29,000027.SZ,b104010100
247,2019-04-30,000031.SZ,b10n010100
250,2019-07-31,000031.SZ,b10n010100
253,2019-10-31,000031.SZ,b10n010100
255,2019-02-28,000032.SZ,b10q020300
320,2019-08-30,000039.SZ,b10a030300
321,2019-09-30,000039.SZ,b10a030300
326,2019-04-30,000042.SZ,b10n010100
327,2019-05-31,000042.SZ,b10n010100
346,2019-04-30,000046.SZ,b10n010100
378,2019-07-31,000050.SZ,b10p030100
380,2019-09-30,000050.SZ,b10p030100
412,2019-02-28,000059.SZ,b101020100
421,2019-01-31,000060.SZ,b103020200
422,2019-02-28,000060.SZ,b103020200
423,2019-03-29,000060.SZ,b103020200
424,2019-04-30,000060.SZ,b103020200
426,2019-06-28,000060.SZ,b103020200
441,2019-01-31,000062.SZ,b10n010200
444,2019-04-30,000062.SZ,b10n010200
462,2019-02-28,000065.SZ,b107010100
469,2019-09-30,000065.SZ,b107010100
471,2019-01-31,000066.SZ,b10r010100
505,2019-07-31,000070.SZ,b10q020700
508,2019-10-31,000070.SZ,b10q020700
514,2019-07-31,000078.SZ,b10i040100
516,2019-09-30,000078.SZ,b10i040100
526,2019-09-30,000088.SZ,b10o010100
527,2019-10-31,000088.SZ,b10o010100
539,2019-02-28,000090.SZ,b107010100
540,2019-03-29,000090.SZ,b107010100
548,2019-01-31,000096.SZ,b101020400
554,2019-07-31,000096.SZ,b101020400
556,2019-09-30,000096.SZ,b101020400
563,2019-06-28,000099.SZ,b10o040100
566,2019-09-30,000099.SZ,b10o040100
569,2019-02-28,000100.SZ,b10g020100
575,2019-08-30,000100.SZ,b10p030100
576,2019-09-30,000100.SZ,b10p030100
583,2019-06-28,000150.SZ,b10i040300
588,2019-01-31,000151.SZ,b10e020100
591,2019-04-30,000151.SZ,b10e020100
594,2019-07-31,000151.SZ,b10e020100
605,2019-08-30,000153.SZ,b10i010200
616,2019-09-30,000155.SZ,b10e020100
619,2019-02-28,000156.SZ,b10s010200
621,2019-04-30,000156.SZ,b10s010200
626,2019-09-30,000156.SZ,b10s010200
641,2019-04-30,000158.SZ,b10t010100
643,2019-06-28,000158.SZ,b10t010100
644,2019-07-31,000158.SZ,b10r030200
657,2019-10-31,000159.SZ,b101020400
699,2019-02-28,000400.SZ,b10b020200
704,2019-07-31,000400.SZ,b10b020200
738,2019-01-31,000404.SZ,b10g010100
749,2019-02-28,000407.SZ,b104020300
756,2019-09-30,000407.SZ,b104020300
765,2019-08-30,000408.SZ,b106010200
766,2019-09-30,000408.SZ,b106010200
776,2019-10-31,000409.SZ,b10t010100
782,2019-06-28,000410.SZ,b10a030200
786,2019-02-28,000411.SZ,b10i040100
787,2019-03-29,000411.SZ,b10i040100
807,2019-03-29,000415.SZ,b10m030200
808,2019-04-30,000415.SZ,b10m030200
827,2019-03-29,000417.SZ,b10e010100
832,2019-08-30,000417.SZ,b10e010100
833,2019-09-30,000417.SZ,b10e010100
858,2019-10-31,000420.SZ,b106020400
861,2019-03-29,000421.SZ,b104020300
876,2019-08-30,000422.SZ,b106010100
877,2019-09-30,000422.SZ,b106010100
878,2019-10-31,000422.SZ,b106010100
883,2019-05-31,000423.SZ,b10i020200
886,2019-08-30,000423.SZ,b10i020200
890,2019-02-28,000425.SZ,b10a010100
902,2019-04-30,000426.SZ,b103020200
905,2019-07-31,000426.SZ,b103020200
919,2019-02-28,000429.SZ,b10o010100
936,2019-09-30,000430.SZ,b10f010100
938,2019-01-31,000488.SZ,b109010100
943,2019-06-28,000488.SZ,b109010100
945,2019-08-30,000488.SZ,b109010100
946,2019-09-30,000488.SZ,b109010100
959,2019-02-28,000501.SZ,b10e010100
960,2019-03-29,000501.SZ,b10e010100
971,2019-04-30,000502.SZ,b10n010100
975,2019-08-30,000502.SZ,b10n010100
990,2019-03-29,000505.SZ,b10j030400
994,2019-07-31,000505.SZ,b10j030400
996,2019-09-30,000505.SZ,b10j030400
1006,2019-09-30,000506.SZ,b10n010100
1013,2019-06-28,000507.SZ,b10o030200
1015,2019-08-30,000507.SZ,b10o030200
1024,2019-07-31,000509.SZ,b108030200
1026,2019-09-30,000509.SZ,b108030200
1029,2019-02-28,000510.SZ,b106030200
1034,2019-07-31,000510.SZ,b106030200
1036,2019-09-30,000510.SZ,b106030200
1048,2019-01-31,000514.SZ,b10n010100
1054,2019-07-31,000514.SZ,b10n010100
1057,2019-10-31,000514.SZ,b10n010100
1058,2019-01-31,000516.SZ,b10e010100
1064,2019-07-31,000516.SZ,b10i040300
1065,2019-08-30,000516.SZ,b10i040300
1068,2019-01-31,000517.SZ,b10n010100
1076,2019-09-30,000517.SZ,b10n010100
1084,2019-07-31,000518.SZ,b10i030100
1107,2019-10-31,000521.SZ,b10g010100
1108,2019-01-31,000523.SZ,b106040100
1128,2019-02-28,000525.SZ,b106010500
1133,2019-07-31,000525.SZ,b106010500
1134,2019-08-30,000525.SZ,b106010500
1135,2019-09-30,000525.SZ,b106010500
1136,2019-10-31,000525.SZ,b106010500
1148,2019-02-28,000528.SZ,b10a010100
1149,2019-03-29,000528.SZ,b10a010100
1150,2019-04-30,000528.SZ,b10a010100
1157,2019-01-31,000529.SZ,b10j030400
1165,2019-09-30,000529.SZ,b10t010200
1168,2019-02-28,000530.SZ,b10a030500
1170,2019-04-30,000530.SZ,b10a030500
1173,2019-08-30,000530.SZ,b10a030500
1203,2019-09-30,000533.SZ,b10g040200
1209,2019-05-31,000534.SZ,b10n010100
1211,2019-07-31,000534.SZ,b10n010100
1231,2019-07-31,000537.SZ,b10n010100
1239,2019-05-31,000538.SZ,b10i020200
1246,2019-02-28,000539.SZ,b104010100
1247,2019-03-29,000539.SZ,b104010100
1248,2019-04-30,000539.SZ,b104010100
1262,2019-08-30,000540.SZ,b10n010100
1263,2019-09-30,000540.SZ,b10n010100
1265,2019-01-31,000541.SZ,b10g040100
1266,2019-02-28,000541.SZ,b10g040100
1267,2019-03-29,000541.SZ,b10g040100
1268,2019-04-30,000541.SZ,b10g040100
1272,2019-08-30,000541.SZ,b10g040100
1287,2019-03-29,000544.SZ,b104020100
1296,2019-03-29,000545.SZ,b106040300
1297,2019-04-30,000545.SZ,b106040300
1302,2019-09-30,000545.SZ,b106040300
1306,2019-03-29,000546.SZ,b108010100
1307,2019-04-30,000546.SZ,b108010100
1309,2019-06-28,000546.SZ,b108010100
1311,2019-08-30,000546.SZ,b108010100
1312,2019-09-30,000546.SZ,b108010100
1313,2019-10-31,000546.SZ,b108010100
1325,2019-03-29,000548.SZ,b10n010200
1326,2019-04-30,000548.SZ,b10n010200
1331,2019-09-30,000548.SZ,b10o010100
1342,2019-10-31,000550.SZ,b10d020100
1344,2019-02-28,000551.SZ,b10b020100
1355,2019-03-29,000552.SZ,b102010100
1356,2019-04-30,000552.SZ,b102010100
1361,2019-09-30,000552.SZ,b102010100
1364,2019-02-28,000553.SZ,b106010500
1365,2019-03-29,000553.SZ,b106010500
1369,2019-07-31,000553.SZ,b106010500
1376,2019-04-30,000554.SZ,b101020400
1377,2019-05-31,000554.SZ,b101020400
1378,2019-06-28,000554.SZ,b101020400
1381,2019-09-30,000554.SZ,b101020400
1388,2019-06-28,000555.SZ,b10r030200
1389,2019-07-31,000555.SZ,b10r030200
1396,2019-04-30,000557.SZ,b10o020200
1400,2019-08-30,000557.SZ,b10o020200
1401,2019-09-30,000557.SZ,b10o020200
1406,2019-04-30,000558.SZ,b10n010100
1408,2019-06-28,000558.SZ,b10n010100
1416,2019-04-30,000559.SZ,b10d030100
1418,2019-06-28,000559.SZ,b10d030100
1421,2019-09-30,000559.SZ,b10d030100
1422,2019-10-31,000559.SZ,b10d030100
1448,2019-08-30,000563.SZ,b10m030100
1450,2019-10-31,000563.SZ,b10m030100
1451,2019-01-31,000564.SZ,b10e010100
1458,2019-08-30,000564.SZ,b10e010100
1462,2019-02-28,000565.SZ,b106040300
1463,2019-03-29,000565.SZ,b106040300
1480,2019-10-31,000566.SZ,b10i010200
1501,2019-01-31,000570.SZ,b10a030500
1502,2019-02-28,000570.SZ,b10a030500
1509,2019-09-30,000570.SZ,b10a030500
1528,2019-10-31,000572.SZ,b10d010100
1559,2019-02-28,000582.SZ,b10o030200
1573,2019-06-28,000584.SZ,b10a020300
1574,2019-07-31,000584.SZ,b10a020300
1575,2019-08-30,000584.SZ,b10a020300
1582,2019-06-28,000585.SZ,b10b020100
1608,2019-03-29,000589.SZ,b10d030100
1614,2019-09-30,000589.SZ,b10d030100
1616,2019-01-31,000591.SZ,b104010300
1619,2019-04-30,000591.SZ,b104010300
1622,2019-07-31,000591.SZ,b104010300
1623,2019-08-30,000591.SZ,b104010300
1633,2019-08-30,000592.SZ,b10k030100
1641,2019-07-31,000593.SZ,b104020300
1642,2019-08-30,000593.SZ,b104020300
1643,2019-09-30,000593.SZ,b104020300
1668,2019-05-31,000597.SZ,b10i010100
1672,2019-09-30,000597.SZ,b10i010100
