,trade_dt_x,wind_code,CITICS_IND_CODE
781,2019-01-31,000017.SZ,b10a040300
782,2019-02-28,000017.SZ,b10a040300
783,2019-03-29,000017.SZ,b10a040300
784,2019-04-30,000017.SZ,b10a040300
785,2019-05-31,000017.SZ,b10a040300
786,2019-06-28,000017.SZ,b10a040300
787,2019-07-31,000017.SZ,b10a040300
788,2019-09-30,000017.SZ,b10a040300
789,2019-10-31,000017.SZ,b10a040300
835,2019-01-31,000018.SZ,b107020100
836,2019-02-28,000018.SZ,b107020100
837,2019-03-29,000018.SZ,b107020100
838,2019-04-30,000018.SZ,b107020100
839,2019-05-31,000018.SZ,b107020100
840,2019-06-28,000018.SZ,b107020100
841,2019-07-31,000018.SZ,b107020100
842,2019-09-30,000018.SZ,b107020100
843,2019-10-31,000018.SZ,b107020100
890,2019-01-31,000019.SZ,b10j020400
891,2019-02-28,000019.SZ,b10j020400
892,2019-03-29,000019.SZ,b10j020400
893,2019-04-30,000019.SZ,b10j020400
894,2019-05-31,000019.SZ,b10j020400
895,2019-06-28,000019.SZ,b10j020400
896,2019-07-31,000019.SZ,b10j020400
897,2019-08-30,000019.SZ,b10j020400
898,2019-09-30,000019.SZ,b10j020400
899,2019-10-31,000019.SZ,b10j020400
946,2019-01-31,000020.SZ,b10p030100
947,2019-02-28,000020.SZ,b10p030100
948,2019-03-29,000020.SZ,b10p030100
949,2019-04-30,000020.SZ,b10p030100
950,2019-05-31,000020.SZ,b10p030100
951,2019-06-28,000020.SZ,b10p030100
952,2019-07-31,000020.SZ,b10p030100
953,2019-08-30,000020.SZ,b10p030100
954,2019-09-30,000020.SZ,b10p030100
955,2019-10-31,000020.SZ,b10p030100
1004,2019-01-31,000021.SZ,b10p020100
1005,2019-02-28,000021.SZ,b10p020100
1006,2019-03-29,000021.SZ,b10p020100
1007,2019-04-30,000021.SZ,b10p020100
1008,2019-05-31,000021.SZ,b10p020100
1009,2019-06-28,000021.SZ,b10p020100
1010,2019-07-31,000021.SZ,b10p020100
1011,2019-08-30,000021.SZ,b10p020100
1012,2019-09-30,000021.SZ,b10p020100
1013,2019-10-31,000021.SZ,b10p020100
1062,2019-01-31,000023.SZ,b108010100
1063,2019-02-28,000023.SZ,b108010100
1064,2019-03-29,000023.SZ,b108010100
1065,2019-04-30,000023.SZ,b108010100
1066,2019-05-31,000023.SZ,b108010100
1067,2019-06-28,000023.SZ,b108010100
1068,2019-07-31,000023.SZ,b108010100
1069,2019-08-30,000023.SZ,b108010100
1070,2019-09-30,000023.SZ,b108010100
1071,2019-10-31,000023.SZ,b108010100
1127,2019-01-31,000025.SZ,b10d040100
1128,2019-02-28,000025.SZ,b10d040100
1129,2019-03-29,000025.SZ,b10d040100
1130,2019-04-30,000025.SZ,b10d040100
1131,2019-05-31,000025.SZ,b10d040100
1132,2019-06-28,000025.SZ,b10d040100
1133,2019-07-31,000025.SZ,b10t010100
1134,2019-08-30,000025.SZ,b10t010100
1135,2019-09-30,000025.SZ,b10t010100
1136,2019-10-31,000025.SZ,b10t010100
1184,2019-01-31,000026.SZ,b10e010300
1185,2019-02-28,000026.SZ,b10e010300
1186,2019-03-29,000026.SZ,b10e010300
1187,2019-04-30,000026.SZ,b10e010300
1188,2019-05-31,000026.SZ,b10e010300
1189,2019-06-28,000026.SZ,b10e010300
1190,2019-07-31,000026.SZ,b10e010300
1191,2019-08-30,000026.SZ,b10e010300
1192,2019-09-30,000026.SZ,b10e010300
1193,2019-10-31,000026.SZ,b10e010300
1241,2019-01-31,000027.SZ,b104010100
1242,2019-02-28,000027.SZ,b104010100
1243,2019-03-29,000027.SZ,b104010100
1244,2019-04-30,000027.SZ,b104010100
1245,2019-05-31,000027.SZ,b104010100
1246,2019-06-28,000027.SZ,b104010100
1247,2019-07-31,000027.SZ,b104010100
1248,2019-08-30,000027.SZ,b104010100
1249,2019-09-30,000027.SZ,b104010100
1250,2019-10-31,000027.SZ,b104010100
1299,2019-01-31,000028.SZ,b10i040100
1300,2019-02-28,000028.SZ,b10i040100
1301,2019-03-29,000028.SZ,b10i040100
1302,2019-04-30,000028.SZ,b10i040100
1303,2019-05-31,000028.SZ,b10i040100
1304,2019-06-28,000028.SZ,b10i040100
1305,2019-07-31,000028.SZ,b10i040100
1306,2019-08-30,000028.SZ,b10i040100
1307,2019-09-30,000028.SZ,b10i040100
1308,2019-10-31,000028.SZ,b10i040100
1354,2019-01-31,000029.SZ,b10n010100
1355,2019-02-28,000029.SZ,b10n010100
1356,2019-03-29,000029.SZ,b10n010100
