,trade_dt_x,wind_code,CITICS_IND_CODE
21,2019-02-28,000004.SZ,b10i010200
22,2019-03-29,000004.SZ,b10i010200
28,2019-10-31,000004.SZ,b10i010200
30,2019-02-28,000005.SZ,b104020100
31,2019-03-29,000005.SZ,b104020100
55,2019-07-31,000007.SZ,b10n020100
56,2019-08-30,000007.SZ,b10n020100
60,2019-02-28,000008.SZ,b10a040100
61,2019-03-29,000008.SZ,b10a040100
71,2019-03-29,000009.SZ,b10t010100
81,2019-03-29,000010.SZ,b107010100
89,2019-03-29,000011.SZ,b10n010100
108,2019-02-28,000014.SZ,b10n010100
109,2019-03-29,000014.SZ,b10n010100
118,2019-02-28,000016.SZ,b10g020100
119,2019-03-29,000016.SZ,b10g020100
136,2019-01-31,000018.SZ,b107020100
137,2019-02-28,000018.SZ,b107020100
138,2019-03-29,000018.SZ,b107020100
139,2019-04-30,000018.SZ,b107020100
147,2019-03-29,000019.SZ,b10j020400
167,2019-03-29,000021.SZ,b10p020100
169,2019-05-31,000021.SZ,b10p020100
172,2019-08-30,000021.SZ,b10p020100
173,2019-09-30,000021.SZ,b10p020100
174,2019-10-31,000021.SZ,b10p020100
176,2019-02-28,000023.SZ,b108010100
185,2019-01-31,000025.SZ,b10d040100
186,2019-02-28,000025.SZ,b10d040100
187,2019-03-29,000025.SZ,b10d040100
188,2019-04-30,000025.SZ,b10d040100
189,2019-05-31,000025.SZ,b10d040100
190,2019-06-28,000025.SZ,b10d040100
192,2019-08-30,000025.SZ,b10t010100
194,2019-10-31,000025.SZ,b10t010100
225,2019-01-31,000029.SZ,b10n010100
226,2019-02-28,000029.SZ,b10n010100
227,2019-03-29,000029.SZ,b10n010100
228,2019-04-30,000029.SZ,b10n010100
229,2019-05-31,000029.SZ,b10n010100
230,2019-06-28,000029.SZ,b10n010100
231,2019-07-31,000029.SZ,b10n010100
232,2019-08-30,000029.SZ,b10n010100
233,2019-09-30,000029.SZ,b10n010100
234,2019-10-31,000029.SZ,b10n010100
265,2019-02-28,000034.SZ,b10q020300
266,2019-03-29,000034.SZ,b10q020300
273,2019-10-31,000034.SZ,b10r030200
279,2019-06-28,000035.SZ,b104020100
286,2019-03-29,000036.SZ,b10n010100
295,2019-03-29,000037.SZ,b104010100
296,2019-04-30,000037.SZ,b104010100
297,2019-05-31,000037.SZ,b104010100
298,2019-06-28,000037.SZ,b104010100
300,2019-08-30,000037.SZ,b104010100
303,2019-01-31,000038.SZ,b10s010500
306,2019-04-30,000038.SZ,b10s010500
307,2019-05-31,000038.SZ,b10s010500
310,2019-08-30,000038.SZ,b10s010500
311,2019-09-30,000038.SZ,b10s010500
312,2019-10-31,000038.SZ,b10s010500
334,2019-02-28,000045.SZ,b10p030100
335,2019-03-29,000045.SZ,b10p030100
340,2019-08-30,000045.SZ,b10p030100
344,2019-02-28,000046.SZ,b10n010100
357,2019-06-28,000048.SZ,b10k020100
368,2019-07-31,000049.SZ,b10p030100
369,2019-08-30,000049.SZ,b10p030100
370,2019-09-30,000049.SZ,b10p030100
373,2019-02-28,000050.SZ,b10p030100
374,2019-03-29,000050.SZ,b10p030100
375,2019-04-30,000050.SZ,b10p030100
382,2019-02-28,000055.SZ,b108030200
383,2019-03-29,000055.SZ,b108030200
392,2019-02-28,000056.SZ,b10n010200
393,2019-03-29,000056.SZ,b10n010200
398,2019-08-30,000056.SZ,b10n010200
401,2019-01-31,000058.SZ,b10n010200
402,2019-02-28,000058.SZ,b10n010200
405,2019-05-31,000058.SZ,b10n010200
409,2019-09-30,000058.SZ,b10n010200
413,2019-03-29,000059.SZ,b101020100
452,2019-02-28,000063.SZ,b10q020600
453,2019-03-29,000063.SZ,b10q020600
454,2019-04-30,000063.SZ,b10q020600
456,2019-06-28,000063.SZ,b10q020600
459,2019-09-30,000063.SZ,b10q020600
463,2019-03-29,000065.SZ,b107010100
464,2019-04-30,000065.SZ,b107010100
472,2019-02-28,000066.SZ,b10r010100
473,2019-04-30,000066.SZ,b10r010100
474,2019-05-31,000066.SZ,b10r010100
475,2019-06-28,000066.SZ,b10r010100
477,2019-08-30,000066.SZ,b10r010100
478,2019-09-30,000066.SZ,b10r010100
479,2019-10-31,000066.SZ,b10r010100
480,2019-01-31,000068.SZ,b104020100
481,2019-03-29,000068.SZ,b104020100
482,2019-04-30,000068.SZ,b104020100
487,2019-09-30,000068.SZ,b104020100
499,2019-01-31,000070.SZ,b10q020700
500,2019-02-28,000070.SZ,b10q020700
501,2019-03-29,000070.SZ,b10q020700
502,2019-04-30,000070.SZ,b10q020700
503,2019-05-31,000070.SZ,b10q020700
506,2019-08-30,000070.SZ,b10q020700
510,2019-03-29,000078.SZ,b10i040100
519,2019-02-28,000088.SZ,b10o010100
520,2019-03-29,000088.SZ,b10o010100
549,2019-02-28,000096.SZ,b101020400
551,2019-04-30,000096.SZ,b101020400
565,2019-08-30,000099.SZ,b10o040100
570,2019-03-29,000100.SZ,b10g020100
578,2019-01-31,000150.SZ,b10i040300
579,2019-02-28,000150.SZ,b10i040300
580,2019-03-29,000150.SZ,b10i040300
581,2019-04-30,000150.SZ,b10i040300
585,2019-08-30,000150.SZ,b10i040300
586,2019-09-30,000150.SZ,b10i040300
587,2019-10-31,000150.SZ,b10i040300
