,trade_dt_x,wind_code,CITICS_IND_CODE
34,2019-06-28,000005.SZ,b104020100
58,2019-10-31,000007.SZ,b10n020100
59,2019-01-31,000008.SZ,b10a040100
76,2019-08-30,000009.SZ,b10t010100
79,2019-01-31,000010.SZ,b107010100
80,2019-02-28,000010.SZ,b107010100
94,2019-08-30,000011.SZ,b10n010100
110,2019-04-30,000014.SZ,b10n010100
130,2019-04-30,000017.SZ,b10a040300
133,2019-07-31,000017.SZ,b10a040300
134,2019-09-30,000017.SZ,b10a040300
145,2019-01-31,000019.SZ,b10j020400
146,2019-02-28,000019.SZ,b10j020400
156,2019-02-28,000020.SZ,b10p030100
157,2019-03-29,000020.SZ,b10p030100
164,2019-10-31,000020.SZ,b10p030100
191,2019-07-31,000025.SZ,b10t010100
223,2019-09-30,000028.SZ,b10i040100
248,2019-05-31,000031.SZ,b10n010100
267,2019-04-30,000034.SZ,b10q020300
268,2019-05-31,000034.SZ,b10q020300
271,2019-08-30,000034.SZ,b10r030200
272,2019-09-30,000034.SZ,b10r030200
282,2019-09-30,000035.SZ,b104020100
341,2019-09-30,000045.SZ,b10p030100
353,2019-02-28,000048.SZ,b10k020100
354,2019-03-29,000048.SZ,b10k020100
376,2019-05-31,000050.SZ,b10p030100
377,2019-06-28,000050.SZ,b10p030100
394,2019-04-30,000056.SZ,b10n010200
399,2019-09-30,000056.SZ,b10n010200
400,2019-10-31,000056.SZ,b10n010200
448,2019-08-30,000062.SZ,b10n010200
449,2019-09-30,000062.SZ,b10n010200
451,2019-01-31,000063.SZ,b10q020600
457,2019-07-31,000063.SZ,b10q020600
458,2019-08-30,000063.SZ,b10q020600
476,2019-07-31,000066.SZ,b10r010100
485,2019-07-31,000068.SZ,b104020100
486,2019-08-30,000068.SZ,b104020100
488,2019-10-31,000068.SZ,b104020100
507,2019-09-30,000070.SZ,b10q020700
521,2019-04-30,000088.SZ,b10o010100
523,2019-06-28,000088.SZ,b10o010100
525,2019-08-30,000088.SZ,b10o010100
568,2019-01-31,000100.SZ,b10g020100
571,2019-04-30,000100.SZ,b10g020100
582,2019-05-31,000150.SZ,b10i040300
584,2019-07-31,000150.SZ,b10i040300
599,2019-02-28,000153.SZ,b10i010200
609,2019-02-28,000155.SZ,b106010100
610,2019-03-29,000155.SZ,b106010100
632,2019-05-31,000157.SZ,b10a010100
639,2019-02-28,000158.SZ,b10t010100
659,2019-02-28,000166.SZ,b10m010100
660,2019-03-29,000166.SZ,b10m010100
661,2019-04-30,000166.SZ,b10m010100
669,2019-02-28,000301.SZ,b101020500
670,2019-03-29,000301.SZ,b101020500
700,2019-03-29,000400.SZ,b10b020200
751,2019-04-30,000407.SZ,b104020300
780,2019-04-30,000410.SZ,b10a030200
799,2019-05-31,000413.SZ,b10p030100
850,2019-02-28,000420.SZ,b106020400
904,2019-06-28,000426.SZ,b103020200
941,2019-04-30,000488.SZ,b109010100
968,2019-01-31,000502.SZ,b10n010100
984,2019-07-31,000503.SZ,b10i040300
986,2019-09-30,000503.SZ,b10i040300
987,2019-10-31,000503.SZ,b10i040300
1018,2019-01-31,000509.SZ,b108030200
1019,2019-02-28,000509.SZ,b108030200
1020,2019-03-29,000509.SZ,b108030200
1022,2019-05-31,000509.SZ,b108030200
1050,2019-03-29,000514.SZ,b10n010100
1141,2019-05-31,000526.SZ,b10n010100
1145,2019-09-30,000526.SZ,b10t010200
1164,2019-08-30,000529.SZ,b10t010200
1181,2019-06-28,000531.SZ,b104010100
1202,2019-08-30,000533.SZ,b10g040200
1204,2019-10-31,000533.SZ,b10g040200
1205,2019-01-31,000534.SZ,b10n010100
1206,2019-02-28,000534.SZ,b10n010100
1228,2019-04-30,000537.SZ,b10n010100
1234,2019-10-31,000537.SZ,b10n010100
1257,2019-03-29,000540.SZ,b10n010100
1324,2019-02-28,000548.SZ,b10n010200
1333,2019-01-31,000550.SZ,b10d020100
1374,2019-02-28,000554.SZ,b101020400
1403,2019-01-31,000558.SZ,b10n010100
1423,2019-02-28,000560.SZ,b10e010100
1429,2019-08-30,000560.SZ,b10e010100
1445,2019-05-31,000563.SZ,b10m030100
1447,2019-07-31,000563.SZ,b10m030100
1465,2019-05-31,000565.SZ,b106040300
1481,2019-01-31,000567.SZ,b10n010100
1482,2019-02-28,000567.SZ,b10n010100
1483,2019-03-29,000567.SZ,b10n010100
1571,2019-04-30,000584.SZ,b10a020300
1576,2019-09-30,000584.SZ,b10a020300
1577,2019-10-31,000584.SZ,b10a020300
1595,2019-10-31,000586.SZ,b10q020700
1645,2019-01-31,000595.SZ,b10a030400
1653,2019-10-31,000595.SZ,b10a030400
1671,2019-08-30,000597.SZ,b10i010100
1720,2019-09-30,000603.SZ,b103020200
1721,2019-10-31,000603.SZ,b103020200
1733,2019-02-28,000606.SZ,b10s010400
1761,2019-10-31,000608.SZ,b10n010200
1770,2019-09-30,000609.SZ,b10n010100
1771,2019-10-31,000609.SZ,b10n010100
1796,2019-07-31,000612.SZ,b103020500
1797,2019-08-30,000612.SZ,b103020500
1800,2019-02-28,000613.SZ,b10f020100
1810,2019-02-28,000615.SZ,b10n010100
1816,2019-09-30,000615.SZ,b10n010100
1869,2019-02-28,000623.SZ,b10m010100
1878,2019-01-31,000625.SZ,b10d010100
1879,2019-02-28,000625.SZ,b10d010100
1881,2019-04-30,000625.SZ,b10d010100
1900,2019-03-29,000628.SZ,b107010100
1908,2019-01-31,000629.SZ,b105010200
1911,2019-04-30,000629.SZ,b105010200
1912,2019-05-31,000629.SZ,b105010200
1940,2019-03-29,000632.SZ,b10e020100
1952,2019-06-28,000633.SZ,b103020300
1956,2019-10-31,000633.SZ,b103020300
1972,2019-06-28,000636.SZ,b10p030100
1976,2019-10-31,000636.SZ,b10p030100
1994,2019-09-30,000638.SZ,b10t010100
2007,2019-03-29,000650.SZ,b10i020200
2064,2019-01-31,000659.SZ,b109020200
2070,2019-07-31,000659.SZ,b109020200
2073,2019-10-31,000659.SZ,b109020200
2133,2019-01-31,000668.SZ,b10n010100
2159,2019-10-31,000670.SZ,b10p010100
2160,2019-01-31,000671.SZ,b10n010100
2179,2019-10-31,000672.SZ,b108010100
2184,2019-06-28,000673.SZ,b10s010500
2186,2019-08-30,000673.SZ,b10s010500
2203,2019-07-31,000677.SZ,b106020400
2207,2019-01-31,000678.SZ,b10d030100
2209,2019-03-29,000678.SZ,b10d030100
2238,2019-02-28,000681.SZ,b10s010400
2239,2019-03-29,000681.SZ,b10s010400
2245,2019-09-30,000681.SZ,b10s010400
2260,2019-04-30,000683.SZ,b106030800
2286,2019-01-31,000687.SZ,b10c030100
2291,2019-06-28,000687.SZ,b10c030100
2294,2019-10-31,000687.SZ,b10c030100
2332,2019-08-30,000692.SZ,b104020400
2348,2019-05-31,000697.SZ,b10c010100
2365,2019-02-28,000700.SZ,b10d030100
